#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.103|CODESYSTEMNAME=ICD9DIAG|CODESYSTEMDISPLAYNAME=ICD9DIAG|VERSION=2013|DESCRIPTION=ICD9DIAG|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato|AUTHORITYCONTACTINFORMATION=Insiel Mercato|VALIDFROM=23/01/2013 10:03
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|TRANSLATION[it]|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
189.9|189.9|TUMORI MALIGNI DEGLI ORGANI URINARI,SEDE NON SPECIFICATA|TUMORI MALIGNI DEGLI ORGANI URINARI,SEDE NON SPECIFICATA|C|0|TUMORI MALIGNI DEGLI ORGANI URINARI,SEDE NON SPECIFICATA|||12/12/2013 12:15|
DEPRECATED.190|190|TUMORI MALIGN OCCHIO|TUMORI MALIGN OCCHIO|C|0|TUMORI MALIGN OCCHIO|||12/12/2013 12:15|
190.0|190.0|TUMORI MALIGNI DEL BULBO OCULARE,ECCETTO CONGIUNTIVA,CORNEA,RETINA E COROIDE|TUMORI MALIGNI DEL BULBO OCULARE,ECCETTO CONGIUNTIVA,CORNEA,RETINA E COROIDE|C|0|TUMORI MALIGNI DEL BULBO OCULARE,ECCETTO CONGIUNTIVA,CORNEA,RETINA E COROIDE|||12/12/2013 12:15|
190.1|190.1|TUMORI MALIGNI DELL'ORBITA|TUMORI MALIGNI DELL'ORBITA|C|0|TUMORI MALIGNI DELL'ORBITA|||12/12/2013 12:15|
190.2|190.2|TUMORI MALIGNI DELLA GHIANDOLA LACRIMALE|TUMORI MALIGNI DELLA GHIANDOLA LACRIMALE|C|0|TUMORI MALIGNI DELLA GHIANDOLA LACRIMALE|||12/12/2013 12:15|
190.3|190.3|TUMORI MALIGNI DELLA CONGIUNTIVA|TUMORI MALIGNI DELLA CONGIUNTIVA|C|0|TUMORI MALIGNI DELLA CONGIUNTIVA|||12/12/2013 12:15|
190.4|190.4|TUMORI MALIGNI DELLA CORNEA|TUMORI MALIGNI DELLA CORNEA|C|0|TUMORI MALIGNI DELLA CORNEA|||12/12/2013 12:15|
190.5|190.5|TUMORI MALIGNI DELLA RETINA|TUMORI MALIGNI DELLA RETINA|C|0|TUMORI MALIGNI DELLA RETINA|||12/12/2013 12:15|
190.6|190.6|TUMORI MALIGNI DELLA COROIDE|TUMORI MALIGNI DELLA COROIDE|C|0|TUMORI MALIGNI DELLA COROIDE|||12/12/2013 12:15|
190.7|190.7|TUMORI MALIGNI DEI CONDOTTI LACRIMALI|TUMORI MALIGNI DEI CONDOTTI LACRIMALI|C|0|TUMORI MALIGNI DEI CONDOTTI LACRIMALI|||12/12/2013 12:15|
190.8|190.8|TUMORI MALIGNI DI ALTRE SPECIFICATE SEDI DELL'OCCHIO|TUMORI MALIGNI DI ALTRE SPECIFICATE SEDI DELL'OCCHIO|C|0|TUMORI MALIGNI DI ALTRE SPECIFICATE SEDI DELL'OCCHIO|||12/12/2013 12:15|
190.9|190.9|TUMORI MALIGNI DELL'OCCHIO,PARTE NON SPECIFICATA|TUMORI MALIGNI DELL'OCCHIO,PARTE NON SPECIFICATA|C|0|TUMORI MALIGNI DELL'OCCHIO,PARTE NON SPECIFICATA|||12/12/2013 12:15|
DEPRECATED.191|191|TUMORI MALIG ENCEFALO|TUMORI MALIG ENCEFALO|C|0|TUMORI MALIG ENCEFALO|||12/12/2013 12:15|
191.0|191.0|TUMORI MALIGNI DEL CERVELLO,ECCETTO LOBI E VENTRICOLI|TUMORI MALIGNI DEL CERVELLO,ECCETTO LOBI E VENTRICOLI|C|0|TUMORI MALIGNI DEL CERVELLO,ECCETTO LOBI E VENTRICOLI|||12/12/2013 12:15|
191.1|191.1|TUMORI MALIGNI DEL LOBO FRONTALE|TUMORI MALIGNI DEL LOBO FRONTALE|C|0|TUMORI MALIGNI DEL LOBO FRONTALE|||12/12/2013 12:15|
191.2|191.2|TUMORI MALIGNI DEL LOBO TEMPORALE|TUMORI MALIGNI DEL LOBO TEMPORALE|C|0|TUMORI MALIGNI DEL LOBO TEMPORALE|||12/12/2013 12:15|
191.3|191.3|TUMORI MALIGNI DEL LOBO PARIETALE|TUMORI MALIGNI DEL LOBO PARIETALE|C|0|TUMORI MALIGNI DEL LOBO PARIETALE|||12/12/2013 12:15|
191.4|191.4|TUMORI MALIGNI DEL LOBO OCCIPITALE|TUMORI MALIGNI DEL LOBO OCCIPITALE|C|0|TUMORI MALIGNI DEL LOBO OCCIPITALE|||12/12/2013 12:15|
191.5|191.5|TUMORI MALIGNI DEL VENTRICOLI|TUMORI MALIGNI DEL VENTRICOLI|C|0|TUMORI MALIGNI DEL VENTRICOLI|||12/12/2013 12:15|
191.6|191.6|TUMORI MALIGNI DEL CERVELLETTO,SAI|TUMORI MALIGNI DEL CERVELLETTO,SAI|C|0|TUMORI MALIGNI DEL CERVELLETTO,SAI|||12/12/2013 12:15|
191.7|191.7|TUMORI MALIGNI DEL TRONCO DELL'ENCEFALO|TUMORI MALIGNI DEL TRONCO DELL'ENCEFALO|C|0|TUMORI MALIGNI DEL TRONCO DELL'ENCEFALO|||12/12/2013 12:15|
191.8|191.8|TUMORI MALIGNI DI ALTRE PARTI DELL'ENCEFALO|TUMORI MALIGNI DI ALTRE PARTI DELL'ENCEFALO|C|0|TUMORI MALIGNI DI ALTRE PARTI DELL'ENCEFALO|||12/12/2013 12:15|
191.9|191.9|TUMORI MALIGNI DELL'ENCEFALO,NON SPECIFICATO|TUMORI MALIGNI DELL'ENCEFALO,NON SPECIFICATO|C|0|TUMORI MALIGNI DELL'ENCEFALO,NON SPECIFICATO|||12/12/2013 12:15|
DEPRECATED.192|192|TUM MAL SIS NERV NAS/SAI|TUM MAL SIS NERV NAS/SAI|C|0|TUM MAL SIS NERV NAS/SAI|||12/12/2013 12:15|
192.0|192.0|TUMORI MALIGNI DEI NERVI CRANICI|TUMORI MALIGNI DEI NERVI CRANICI|C|0|TUMORI MALIGNI DEI NERVI CRANICI|||12/12/2013 12:15|
192.1|192.1|TUMORI MALIGNI DELLE MENINGI CEREBRALI|TUMORI MALIGNI DELLE MENINGI CEREBRALI|C|0|TUMORI MALIGNI DELLE MENINGI CEREBRALI|||12/12/2013 12:15|
192.2|192.2|TUMORI MALIGNI DEL MIDOLLO SPINALE|TUMORI MALIGNI DEL MIDOLLO SPINALE|C|0|TUMORI MALIGNI DEL MIDOLLO SPINALE|||12/12/2013 12:15|
192.3|192.3|TUMORI MALIGNI DELLE MENINGI SPINALI|TUMORI MALIGNI DELLE MENINGI SPINALI|C|0|TUMORI MALIGNI DELLE MENINGI SPINALI|||12/12/2013 12:15|
192.8|192.8|TUMORI MALIGNI DI ALTRE SEDI SPECIFICATE DEL SISTEMA NERVOSO|TUMORI MALIGNI DI ALTRE SEDI SPECIFICATE DEL SISTEMA NERVOSO|C|0|TUMORI MALIGNI DI ALTRE SEDI SPECIFICATE DEL SISTEMA NERVOSO|||12/12/2013 12:15|
192.9|192.9|TUMORI MALIGNI DEL SISTEMA NERVOSO,PARTE NON SPECIFICATA|TUMORI MALIGNI DEL SISTEMA NERVOSO,PARTE NON SPECIFICATA|C|0|TUMORI MALIGNI DEL SISTEMA NERVOSO,PARTE NON SPECIFICATA|||12/12/2013 12:15|
193|193|TUMORI MALIGNI DELLA GHIANDOLA TIROIDE|TUMORI MALIGNI DELLA GHIANDOLA TIROIDE|C|0|TUMORI MALIGNI DELLA GHIANDOLA TIROIDE|||12/12/2013 12:15|
DEPRECATED.194|194|TUM MAL ALTR GH ENDOCRIN|TUM MAL ALTR GH ENDOCRIN|C|0|TUM MAL ALTR GH ENDOCRIN|||12/12/2013 12:15|
194.0|194.0|TUMORI MALIGNI DELLE GHIANDOLE SURRENALI|TUMORI MALIGNI DELLE GHIANDOLE SURRENALI|C|0|TUMORI MALIGNI DELLE GHIANDOLE SURRENALI|||12/12/2013 12:15|
194.1|194.1|TUMORI MALIGNI DELLE GHIANDOLE PARATIROIDI|TUMORI MALIGNI DELLE GHIANDOLE PARATIROIDI|C|0|TUMORI MALIGNI DELLE GHIANDOLE PARATIROIDI|||12/12/2013 12:15|
194.3|194.3|TUMORI MALIGNI DELL'IPOFISI E DOTTO CRANIOFARINGEO|TUMORI MALIGNI DELL'IPOFISI E DOTTO CRANIOFARINGEO|C|0|TUMORI MALIGNI DELL'IPOFISI E DOTTO CRANIOFARINGEO|||12/12/2013 12:15|
194.4|194.4|TUMORI MALIGNI DELLA GHIANDOLA PINEALE|TUMORI MALIGNI DELLA GHIANDOLA PINEALE|C|0|TUMORI MALIGNI DELLA GHIANDOLA PINEALE|||12/12/2013 12:15|
194.5|194.5|TUMORI MALIGNI DEL GLOMO CAROTIDEO|TUMORI MALIGNI DEL GLOMO CAROTIDEO|C|0|TUMORI MALIGNI DEL GLOMO CAROTIDEO|||12/12/2013 12:15|
194.6|194.6|TUMORI MALIGNI DEL GLOMO AORTICO E ALTRI PARAGANGLI|TUMORI MALIGNI DEL GLOMO AORTICO E ALTRI PARAGANGLI|C|0|TUMORI MALIGNI DEL GLOMO AORTICO E ALTRI PARAGANGLI|||12/12/2013 12:15|
194.8|194.8|ALTRI TUMORI MALIGNI DELLE ALTRE GHIANDOLE ENDOCRINE E STRUTTURE CONNESSE|ALTRI TUMORI MALIGNI DELLE ALTRE GHIANDOLE ENDOCRINE E STRUTTURE CONNESSE|C|0|ALTRI TUMORI MALIGNI DELLE ALTRE GHIANDOLE ENDOCRINE E STRUTTURE CONNESSE|||12/12/2013 12:15|
194.9|194.9|TUMORI MALIGNI DELLE GHIANDOLE ENDOCRINE,SEDE NON SPECIFICATA|TUMORI MALIGNI DELLE GHIANDOLE ENDOCRINE,SEDE NON SPECIFICATA|C|0|TUMORI MALIGNI DELLE GHIANDOLE ENDOCRINE,SEDE NON SPECIFICATA|||12/12/2013 12:15|
DEPRECATED.195|195|TUM MAL AL SEDI MAL-DEF|TUM MAL AL SEDI MAL-DEF|C|0|TUM MAL AL SEDI MAL-DEF|||12/12/2013 12:15|
195.0|195.0|TUMORI MALIGNI DI TESTA,FACCIA E COLLO|TUMORI MALIGNI DI TESTA,FACCIA E COLLO|C|0|TUMORI MALIGNI DI TESTA,FACCIA E COLLO|||12/12/2013 12:15|
195.1|195.1|TUMORI MALIGNI DEL TORACE|TUMORI MALIGNI DEL TORACE|C|0|TUMORI MALIGNI DEL TORACE|||12/12/2013 12:15|
195.2|195.2|TUMORI MALIGNI DELL'ADDOME|TUMORI MALIGNI DELL'ADDOME|C|0|TUMORI MALIGNI DELL'ADDOME|||12/12/2013 12:15|
195.3|195.3|TUMORI MALIGNI DELLA PELVI|TUMORI MALIGNI DELLA PELVI|C|0|TUMORI MALIGNI DELLA PELVI|||12/12/2013 12:15|
195.4|195.4|TUMORI MALIGNI DELL'ARTO SUPERIORE|TUMORI MALIGNI DELL'ARTO SUPERIORE|C|0|TUMORI MALIGNI DELL'ARTO SUPERIORE|||12/12/2013 12:15|
195.5|195.5|TUMORI MALIGNI DELL'ARTO INFERIORE|TUMORI MALIGNI DELL'ARTO INFERIORE|C|0|TUMORI MALIGNI DELL'ARTO INFERIORE|||12/12/2013 12:15|
195.8|195.8|TUMORI MALIGNI DI ALTRE SEDI SPECIFICATE|TUMORI MALIGNI DI ALTRE SEDI SPECIFICATE|C|0|TUMORI MALIGNI DI ALTRE SEDI SPECIFICATE|||12/12/2013 12:15|
DEPRECATED.196|196|TUMOR MAL LINFONODI|TUMOR MAL LINFONODI|C|0|TUMOR MAL LINFONODI|||12/12/2013 12:15|
196.0|196.0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DI TESTA,FACCIA E COLLO|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DI TESTA,FACCIA E COLLO|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DI TESTA,FACCIA E COLLO|||12/12/2013 12:15|
196.1|196.1|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRATORACICI|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRATORACICI|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRATORACICI|||12/12/2013 12:15|
196.2|196.2|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRAADDOMINALI|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRAADDOMINALI|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRAADDOMINALI|||12/12/2013 12:15|
196.3|196.3|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DELL'ASCELLA E DELL'ARTO SUPERIORE|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DELL'ASCELLA E DELL'ARTO SUPERIORE|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DELL'ASCELLA E DELL'ARTO SUPERIORE|||12/12/2013 12:15|
196.5|196.5|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DELLA REGIONE INGUINALE E DELL'ARTO INFERIORE|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DELLA REGIONE INGUINALE E DELL'ARTO INFERIORE|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI DELLA REGIONE INGUINALE E DELL'ARTO INFERIORE|||12/12/2013 12:15|
196.6|196.6|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRAPELVICI|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRAPELVICI|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI INTRAPELVICI|||12/12/2013 12:15|
196.8|196.8|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI,SEDI MULTIPLE|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI,SEDI MULTIPLE|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI,SEDI MULTIPLE|||12/12/2013 12:15|
196.9|196.9|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI,SEDE NON SPECIFICATA|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI,SEDE NON SPECIFICATA|C|0|TUMORI MALIGNI SECONDARI E NON SPECIFICATI DEI LINFONODI,SEDE NON SPECIFICATA|||12/12/2013 12:15|
DEPRECATED.197|197|TUM MAL SECOND DIG/RESP|TUM MAL SECOND DIG/RESP|C|0|TUM MAL SECOND DIG/RESP|||12/12/2013 12:15|
197.0|197.0|TUMORI MALIGNI SECONDARI DEL POLMONE|TUMORI MALIGNI SECONDARI DEL POLMONE|C|0|TUMORI MALIGNI SECONDARI DEL POLMONE|||12/12/2013 12:15|
197.1|197.1|TUMORI MALIGNI SECONDARI DEL MEDIASTINO|TUMORI MALIGNI SECONDARI DEL MEDIASTINO|C|0|TUMORI MALIGNI SECONDARI DEL MEDIASTINO|||12/12/2013 12:15|
197.2|197.2|TUMORI MALIGNI SECONDARI DEL PLEURA|TUMORI MALIGNI SECONDARI DEL PLEURA|C|0|TUMORI MALIGNI SECONDARI DEL PLEURA|||12/12/2013 12:15|
197.3|197.3|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI RESPIRATORI|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI RESPIRATORI|C|0|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI RESPIRATORI|||12/12/2013 12:15|
197.4|197.4|TUMORI MALIGNI SECONDARI DELL'INTESTINO TENUE,INCLUSO IL DUODENO|TUMORI MALIGNI SECONDARI DELL'INTESTINO TENUE,INCLUSO IL DUODENO|C|0|TUMORI MALIGNI SECONDARI DELL'INTESTINO TENUE,INCLUSO IL DUODENO|||12/12/2013 12:15|
197.5|197.5|TUMORI MALIGNI SECONDARI DI COLON E RETTO|TUMORI MALIGNI SECONDARI DI COLON E RETTO|C|0|TUMORI MALIGNI SECONDARI DI COLON E RETTO|||12/12/2013 12:15|
197.6|197.6|TUMORI MALIGNI SECONDARI DI RETROPERITONEO E PERITONEO|TUMORI MALIGNI SECONDARI DI RETROPERITONEO E PERITONEO|C|0|TUMORI MALIGNI SECONDARI DI RETROPERITONEO E PERITONEO|||12/12/2013 12:15|
197.7|197.7|TUMORI MALIGNI SECONDARI DEL FEGATO,SPECIFICATI COME METASTATICI|TUMORI MALIGNI SECONDARI DEL FEGATO,SPECIFICATI COME METASTATICI|C|0|TUMORI MALIGNI SECONDARI DEL FEGATO,SPECIFICATI COME METASTATICI|||12/12/2013 12:15|
197.8|197.8|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI DIGESTIVI E MILZA|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI DIGESTIVI E MILZA|C|0|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI DIGESTIVI E MILZA|||12/12/2013 12:15|
DEPRECATED.198|198|TUMOR MAL SEC ALTR SEDI|TUMOR MAL SEC ALTR SEDI|C|0|TUMOR MAL SEC ALTR SEDI|||12/12/2013 12:15|
198.0|198.0|TUMORI MALIGNI SECONDARI DEL RENE|TUMORI MALIGNI SECONDARI DEL RENE|C|0|TUMORI MALIGNI SECONDARI DEL RENE|||12/12/2013 12:15|
198.1|198.1|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI URINARI|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI URINARI|C|0|TUMORI MALIGNI SECONDARI DI ALTRI ORGANI URINARI|||12/12/2013 12:15|
198.2|198.2|TUMORI MALIGNI SECONDARI DELLA CUTE|TUMORI MALIGNI SECONDARI DELLA CUTE|C|0|TUMORI MALIGNI SECONDARI DELLA CUTE|||12/12/2013 12:15|
198.3|198.3|TUMORI MALIGNI SECONDARI DI ENCEFALO E MIDOLLO SPINALE|TUMORI MALIGNI SECONDARI DI ENCEFALO E MIDOLLO SPINALE|C|0|TUMORI MALIGNI SECONDARI DI ENCEFALO E MIDOLLO SPINALE|||12/12/2013 12:15|
198.4|198.4|TUMORI MALIGNI SECONDARI DI ALTRE PARTI DEL SISTEMA NERVOSO|TUMORI MALIGNI SECONDARI DI ALTRE PARTI DEL SISTEMA NERVOSO|C|0|TUMORI MALIGNI SECONDARI DI ALTRE PARTI DEL SISTEMA NERVOSO|||12/12/2013 12:15|
198.5|198.5|TUMORI MALIGNI SECONDARI DI OSSO E MIDOLLO OSSEO|TUMORI MALIGNI SECONDARI DI OSSO E MIDOLLO OSSEO|C|0|TUMORI MALIGNI SECONDARI DI OSSO E MIDOLLO OSSEO|||12/12/2013 12:15|
198.6|198.6|TUMORI MALIGNI SECONDARI DELL'OVAIO|TUMORI MALIGNI SECONDARI DELL'OVAIO|C|0|TUMORI MALIGNI SECONDARI DELL'OVAIO|||12/12/2013 12:15|
198.7|198.7|TUMORI MALIGNI SECONDARI DELLA GHIANDOLA SURRENALE|TUMORI MALIGNI SECONDARI DELLA GHIANDOLA SURRENALE|C|0|TUMORI MALIGNI SECONDARI DELLA GHIANDOLA SURRENALE|||12/12/2013 12:15|
DEPRECATED.198.8|198.8|ALTR TUMOR MAL SECONDARI|ALTR TUMOR MAL SECONDARI|C|0|ALTR TUMOR MAL SECONDARI|||12/12/2013 12:15|
198.81|198.81|TUMORI MALIGNI SECONDARI DELLA MAMMELLA|TUMORI MALIGNI SECONDARI DELLA MAMMELLA|C|0|TUMORI MALIGNI SECONDARI DELLA MAMMELLA|||12/12/2013 12:15|
198.82|198.82|TUMORI MALIGNI SECONDARI DEGLI ORGANI GENITALI|TUMORI MALIGNI SECONDARI DEGLI ORGANI GENITALI|C|0|TUMORI MALIGNI SECONDARI DEGLI ORGANI GENITALI|||12/12/2013 12:15|
198.89|198.89|TUMORI MALIGNI SECONDARI DI ALTRE SEDI SPECIFICATE|TUMORI MALIGNI SECONDARI DI ALTRE SEDI SPECIFICATE|C|0|TUMORI MALIGNI SECONDARI DI ALTRE SEDI SPECIFICATE|||12/12/2013 12:15|
199|199|TUMORI MALIGNI, SENZA INDICAZIONE DELLA SEDE|TUMORI MALIGNI, SENZA INDICAZIONE DELLA SEDE|S|0|TUMORI MALIGNI, SENZA INDICAZIONE DELLA SEDE|||12/12/2013 12:15|
199.0|199.0|TUMORI MALIGNI DISSEMINATI SENZA INDICAZIONE DELLA SEDE|TUMORI MALIGNI DISSEMINATI SENZA INDICAZIONE DELLA SEDE|C|0|TUMORI MALIGNI DISSEMINATI SENZA INDICAZIONE DELLA SEDE|||12/12/2013 12:15|
199.1|199.1|ALTRI TUMORI MALIGNI SENZA INDICAZIONE DELLA SEDE|ALTRI TUMORI MALIGNI SENZA INDICAZIONE DELLA SEDE|C|0|ALTRI TUMORI MALIGNI SENZA INDICAZIONE DELLA SEDE|||12/12/2013 12:15|
DEPRECATED.200|200|LINFOSARC/RETICOLOSARC|LINFOSARC/RETICOLOSARC|C|0|LINFOSARC/RETICOLOSARC|||12/12/2013 12:15|
DEPRECATED.200.0|200.0|RETICOLOSARCOMA|RETICOLOSARCOMA|C|0|RETICOLOSARCOMA|||12/12/2013 12:15|
200.00|200.00|RETICOLOSARCOMA,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|RETICOLOSARCOMA,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|C|0|RETICOLOSARCOMA,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|||12/12/2013 12:15|
200.01|200.01|RETICOLOSARCOMA,LINFONODI DELLA TESTA E DEL COLLO|RETICOLOSARCOMA,LINFONODI DELLA TESTA E DEL COLLO|C|0|RETICOLOSARCOMA,LINFONODI DELLA TESTA E DEL COLLO|||12/12/2013 12:15|
200.02|200.02|RETICOLOSARCOMA,LINFONODI INTRATORACICI,MEDIASTINICI|RETICOLOSARCOMA,LINFONODI INTRATORACICI,MEDIASTINICI|C|0|RETICOLOSARCOMA,LINFONODI INTRATORACICI,MEDIASTINICI|||12/12/2013 12:15|
200.03|200.03|RETICOLOSARCOMA,LINFONODI INTRAADDOMINALI|RETICOLOSARCOMA,LINFONODI INTRAADDOMINALI|C|0|RETICOLOSARCOMA,LINFONODI INTRAADDOMINALI|||12/12/2013 12:15|
200.04|200.04|RETICOLOSARCOMA,LINFONODI ASCELLARI E DELL'ARTO SUPERIORE|RETICOLOSARCOMA,LINFONODI ASCELLARI E DELL'ARTO SUPERIORE|C|0|RETICOLOSARCOMA,LINFONODI ASCELLARI E DELL'ARTO SUPERIORE|||12/12/2013 12:15|
200.05|200.05|RETICOLOSARCOMA,LINFONODI INGUINALI E DELL'ARTO INFERIORE|RETICOLOSARCOMA,LINFONODI INGUINALI E DELL'ARTO INFERIORE|C|0|RETICOLOSARCOMA,LINFONODI INGUINALI E DELL'ARTO INFERIORE|||12/12/2013 12:15|
200.06|200.06|RETICOLOSARCOMA,LINFONODI PELVICI|RETICOLOSARCOMA,LINFONODI PELVICI|C|0|RETICOLOSARCOMA,LINFONODI PELVICI|||12/12/2013 12:15|
200.07|200.07|RETICOLOSARCOMA,MILZA|RETICOLOSARCOMA,MILZA|C|0|RETICOLOSARCOMA,MILZA|||12/12/2013 12:15|
200.08|200.08|RETICOLOSARCOMA,LINFONODI DI SITI MULTIPLI|RETICOLOSARCOMA,LINFONODI DI SITI MULTIPLI|C|0|RETICOLOSARCOMA,LINFONODI DI SITI MULTIPLI|||12/12/2013 12:15|
DEPRECATED.200.1|200.1|LINFOSARCOMA|LINFOSARCOMA|C|0|LINFOSARCOMA|||12/12/2013 12:15|
200.10|200.10|LINFOSARCOMA,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|LINFOSARCOMA,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|C|0|LINFOSARCOMA,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|||12/12/2013 12:15|
200.11|200.11|LINFOSARCOMA,LINFONODI DELLA TESTA E DEL COLLO|LINFOSARCOMA,LINFONODI DELLA TESTA E DEL COLLO|C|0|LINFOSARCOMA,LINFONODI DELLA TESTA E DEL COLLO|||12/12/2013 12:15|
200.12|200.12|LINFOSARCOMA,LINFONODI INTRATORACICI,MEDIASTINICI|LINFOSARCOMA,LINFONODI INTRATORACICI,MEDIASTINICI|C|0|LINFOSARCOMA,LINFONODI INTRATORACICI,MEDIASTINICI|||12/12/2013 12:15|
200.13|200.13|LINFOSARCOMA,LINFONODI INTRAADDOMINALI|LINFOSARCOMA,LINFONODI INTRAADDOMINALI|C|0|LINFOSARCOMA,LINFONODI INTRAADDOMINALI|||12/12/2013 12:15|
200.14|200.14|LINFOSARCOMA,LINFONODI ASCELLARI E DELL'ARTO SUPERIORE|LINFOSARCOMA,LINFONODI ASCELLARI E DELL'ARTO SUPERIORE|C|0|LINFOSARCOMA,LINFONODI ASCELLARI E DELL'ARTO SUPERIORE|||12/12/2013 12:15|
200.15|200.15|LINFOSARCOMA,LINFONODI INGUINALI E DELL'ARTO INFERIORE|LINFOSARCOMA,LINFONODI INGUINALI E DELL'ARTO INFERIORE|C|0|LINFOSARCOMA,LINFONODI INGUINALI E DELL'ARTO INFERIORE|||12/12/2013 12:15|
200.16|200.16|LINFOSARCOMA,LINFONODI PELVICI|LINFOSARCOMA,LINFONODI PELVICI|C|0|LINFOSARCOMA,LINFONODI PELVICI|||12/12/2013 12:15|
200.17|200.17|LINFOSARCOMA,MILZA|LINFOSARCOMA,MILZA|C|0|LINFOSARCOMA,MILZA|||12/12/2013 12:15|
200.18|200.18|LINFOSARCOMA,LINFONODI DI SITI MULTIPLI|LINFOSARCOMA,LINFONODI DI SITI MULTIPLI|C|0|LINFOSARCOMA,LINFONODI DI SITI MULTIPLI|||12/12/2013 12:15|
DEPRECATED.200.2|200.2|TUMOR BURKITT/LINFOMA|TUMOR BURKITT/LINFOMA|C|0|TUMOR BURKITT/LINFOMA|||12/12/2013 12:15|
200.20|200.20|LINFOMA O TUMORE DI BURKITT,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|LINFOMA O TUMORE DI BURKITT,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|C|0|LINFOMA O TUMORE DI BURKITT,SITO NON SPECIFICATO,ORGANI SOLIDI O SITI EXTRANODALI|||12/12/2013 12:15|
200.21|200.21|LINFOMA O TUMORE DI BURKITT,LINFONODI DELLA TESTA E DEL COLLO|LINFOMA O TUMORE DI BURKITT,LINFONODI DELLA TESTA E DEL COLLO|C|0|LINFOMA O TUMORE DI BURKITT,LINFONODI DELLA TESTA E DEL COLLO|||12/12/2013 12:15|
200.22|200.22|LINFOMA O TUMORE DI BURKITT,LINFONODI INTRATORACICI,MEDIASTINICI|LINFOMA O TUMORE DI BURKITT,LINFONODI INTRATORACICI,MEDIASTINICI|C|0|LINFOMA O TUMORE DI BURKITT,LINFONODI INTRATORACICI,MEDIASTINICI|||12/12/2013 12:15|
200.23|200.23|LINFOMA O TUMORE DI BURKITT,LINFONODI INTRAADDOMINALI|LINFOMA O TUMORE DI BURKITT,LINFONODI INTRAADDOMINALI|C|0|LINFOMA O TUMORE DI BURKITT,LINFONODI INTRAADDOMINALI|||12/12/2013 12:15|
