#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.103|CODESYSTEMNAME=ICD9DIAG|CODESYSTEMDISPLAYNAME=ICD9DIAG|VERSION=0|DESCRIPTION=ICD9DIAG|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato|AUTHORITYCONTACTINFORMATION=Insiel Mercato|VALIDFROM=23/01/2013 10:03||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[classification]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
09.520.6_V0|520.6|520.6|Disturbi dell’eruzione del dente|C|0|1|||||Disturbi dell’eruzione del dente||22/04/2010 17:44|
09.520.7_V0|520.7|520.7|Disturbi della dentizione|C|0|1|||||Disturbi della dentizione||22/04/2010 17:44|
09.520.8_V0|520.8|520.8|Altri specifici disordini dello sviluppo ed eruzione del dente|C|0|1|||||Altri specifici disordini dello sviluppo ed eruzione del dente||22/04/2010 17:44|
09.520.9_V0|520.9|520.9|Disordini non specificati dello sviluppo e dell’eruzione del dente|C|0|1|||||Disordini non specificati dello sviluppo e dell’eruzione del dente||22/04/2010 17:44|
09.521_V0|521|521|Malattie dei tessuti duri dei denti|S|0|1|||||Malattie dei tessuti duri dei denti||22/04/2010 17:44|
09.521.0_V0|521.0|521.0|Carie dentaria|S|0|1|||||Carie dentaria||22/04/2010 17:44|
09.521.0.0_V0|521.00|521.00|Carie dentaria, non specificata|C|0|1|||||Carie dentaria, non specificata||22/04/2010 17:44|
09.521.0.1_V0|521.01|521.01|Carie dentaria, limitata allo smalto|C|0|1|||||Carie dentaria, limitata allo smalto||22/04/2010 17:44|
09.521.0.2_V0|521.02|521.02|Carie dentaria estesa alla dentina|C|0|1|||||Carie dentaria estesa alla dentina||22/04/2010 17:44|
09.521.0.3_V0|521.03|521.03|Carie dentaria estesa alla polpa|C|0|1|||||Carie dentaria estesa alla polpa||22/04/2010 17:44|
09.521.0.4_V0|521.04|521.04|Carie dentaria arrestata|C|0|1|||||Carie dentaria arrestata||22/04/2010 17:44|
09.521.0.5_V0|521.05|521.05|Odontoclasia|C|0|1|||||Odontoclasia||22/04/2010 17:44|
09.521.0.6_V0|521.06|521.06|Foro e fessura da carie dentaria|C|0|1|||||Foro e fessura da carie dentaria||22/04/2010 17:44|
09.521.0.7_V0|521.07|521.07|Carie dentaria della superficie liscia|C|0|1|||||Carie dentaria della superficie liscia||22/04/2010 17:44|
09.521.0.8_V0|521.08|521.08|Carie dentaria della superficie della radice|C|0|1|||||Carie dentaria della superficie della radice||22/04/2010 17:44|
09.521.0.9_V0|521.09|521.09|Altre carie dentarie|C|0|1|||||Altre carie dentarie||22/04/2010 17:44|
09.521.1_V0|521.1|521.1|Attrito dentale eccessivo (usura prossimale) (usura occlusale)|S|0|1|||||Attrito dentale eccessivo (usura prossimale) (usura occlusale)||22/04/2010 17:44|
09.521.1.0_V0|521.10|521.10|Eccessivo attrito, non specificato|C|0|1|||||Eccessivo attrito, non specificato||22/04/2010 17:44|
09.521.1.1_V0|521.11|521.11|Eccessivo attrito, limitato allo smalto|C|0|1|||||Eccessivo attrito, limitato allo smalto||22/04/2010 17:44|
09.521.1.2_V0|521.12|521.12|Eccessivo attrito, esteso alla dentina|C|0|1|||||Eccessivo attrito, esteso alla dentina||22/04/2010 17:44|
09.521.1.3_V0|521.13|521.13|Eccessivo attrito, esteso alla polpa|C|0|1|||||Eccessivo attrito, esteso alla polpa||22/04/2010 17:44|
09.521.1.4_V0|521.14|521.14|Eccessivo attrito, localizzato|C|0|1|||||Eccessivo attrito, localizzato||22/04/2010 17:44|
09.521.1.5_V0|521.15|521.15|Eccessivo attrito, generalizzato|C|0|1|||||Eccessivo attrito, generalizzato||22/04/2010 17:44|
09.521.2_V0|521.2|521.2|Abrasione|S|0|1|||||Abrasione||22/04/2010 17:44|
09.521.2.0_V0|521.20|521.20|Abrasione, non specificata|C|0|1|||||Abrasione, non specificata||22/04/2010 17:44|
09.521.2.1_V0|521.21|521.21|Abrasione, limitata allo smalto|C|0|1|||||Abrasione, limitata allo smalto||22/04/2010 17:44|
09.521.2.2_V0|521.22|521.22|Abrasione, estesa alla dentina|C|0|1|||||Abrasione, estesa alla dentina||22/04/2010 17:44|
09.521.2.3_V0|521.23|521.23|Abrasione, estesa alla polpa|C|0|1|||||Abrasione, estesa alla polpa||22/04/2010 17:44|
09.521.2.4_V0|521.24|521.24|Abrasione, localizzata|C|0|1|||||Abrasione, localizzata||22/04/2010 17:44|
09.521.2.5_V0|521.25|521.25|Abrasione, generalizzata|C|0|1|||||Abrasione, generalizzata||22/04/2010 17:44|
09.521.3_V0|521.3|521.3|Erosione|S|0|1|||||Erosione||22/04/2010 17:44|
09.521.3.0_V0|521.30|521.30|Erosione, non specificata|C|0|1|||||Erosione, non specificata||22/04/2010 17:44|
09.521.3.1_V0|521.31|521.31|Erosione, limitata allo smalto|C|0|1|||||Erosione, limitata allo smalto||22/04/2010 17:44|
09.521.3.2_V0|521.32|521.32|Erosione, estesa alla dentina|C|0|1|||||Erosione, estesa alla dentina||22/04/2010 17:44|
09.521.3.3_V0|521.33|521.33|Erosione, estesa alla polpa|C|0|1|||||Erosione, estesa alla polpa||22/04/2010 17:44|
09.521.3.4_V0|521.34|521.34|Erosione, localizzata|C|0|1|||||Erosione, localizzata||22/04/2010 17:44|
09.521.3.5_V0|521.35|521.35|Erosione, generalizzata|C|0|1|||||Erosione, generalizzata||22/04/2010 17:44|
09.521.4_V0|521.4|521.4|Riassorbimento patologico del dente|S|0|1|||||Riassorbimento patologico del dente||22/04/2010 17:44|
09.521.4.0_V0|521.40|521.40|Riassorbimento patologico, non specificato|C|0|1|||||Riassorbimento patologico, non specificato||22/04/2010 17:44|
09.521.4.1_V0|521.41|521.41|Riassorbimento patologico, interno|C|0|1|||||Riassorbimento patologico, interno||22/04/2010 17:44|
09.521.4.2_V0|521.42|521.42|Riassorbimento patologico, esterno|C|0|1|||||Riassorbimento patologico, esterno||22/04/2010 17:44|
09.521.4.9_V0|521.49|521.49|Altro riassorbimento patologico del dente|C|0|1|||||Altro riassorbimento patologico del dente||22/04/2010 17:44|
09.521.5_V0|521.5|521.5|Ipercementosi|C|0|1|||||Ipercementosi||22/04/2010 17:44|
09.521.6_V0|521.6|521.6|Anchilosi dei denti|C|0|1|||||Anchilosi dei denti||22/04/2010 17:44|
09.521.7_V0|521.7|521.7|Cambiamenti intrinseci del colore dei denti dopo l’eruzione|C|0|1|||||Cambiamenti intrinseci del colore dei denti dopo l’eruzione||22/04/2010 17:44|
09.521.8_V0|521.8|521.8|Altre malattie specificate dei tessuti duri dei denti|S|0|1|||||Altre malattie specificate dei tessuti duri dei denti||22/04/2010 17:44|
09.521.8.1_V0|521.81|521.81|Dente lesionato|C|0|1|||||Dente lesionato||22/04/2010 17:44|
09.521.8.9_V0|521.89|521.89|Altre patologie specifiche dei tessuti duri dei denti|C|0|1|||||Altre patologie specifiche dei tessuti duri dei denti||22/04/2010 17:44|
09.521.9_V0|521.9|521.9|Malattie non specificate dei tessuti duri dei denti|C|0|1|||||Malattie non specificate dei tessuti duri dei denti||22/04/2010 17:44|
09.522_V0|522|522|Malattie della polpa e dei tessuti periapicali|S|0|1|||||Malattie della polpa e dei tessuti periapicali||22/04/2010 17:44|
09.522.0_V0|522.0|522.0|Pulpite|C|0|1|||||Pulpite||22/04/2010 17:44|
09.522.1_V0|522.1|522.1|Necrosi della polpa|C|0|1|||||Necrosi della polpa||22/04/2010 17:44|
09.522.2_V0|522.2|522.2|Degenerazione della polpa|C|0|1|||||Degenerazione della polpa||22/04/2010 17:44|
09.522.3_V0|522.3|522.3|Anomala formazione di tessuto duro nella polpa|C|0|1|||||Anomala formazione di tessuto duro nella polpa||22/04/2010 17:44|
09.522.4_V0|522.4|522.4|Periodontite acuta apicale di origine pulpare|C|0|1|||||Periodontite acuta apicale di origine pulpare||22/04/2010 17:44|
09.522.5_V0|522.5|522.5|Ascesso periapicale senza seno|C|0|1|||||Ascesso periapicale senza seno||22/04/2010 17:44|
09.522.6_V0|522.6|522.6|Periodontite cronica apicale|C|0|1|||||Periodontite cronica apicale||22/04/2010 17:44|
09.522.7_V0|522.7|522.7|Ascesso periapicale con seno|C|0|1|||||Ascesso periapicale con seno||22/04/2010 17:44|
09.522.8_V0|522.8|522.8|Cisti radicolare|C|0|1|||||Cisti radicolare||22/04/2010 17:44|
09.522.9_V0|522.9|522.9|Altre e non specificate malattie della polpa e dei tessuti periapicali|C|0|1|||||Altre e non specificate malattie della polpa e dei tessuti periapicali||22/04/2010 17:44|
09.523_V0|523|523|Malattie gengivali e periodontali|S|0|1|||||Malattie gengivali e periodontali||22/04/2010 17:44|
09.523.0_V0|523.0|523.0|Gengivite acuta|S|0|1|||||Gengivite acuta||22/04/2010 17:44|
09.523.0.0_V0|523.00|523.00|Gengivite acuta, causata da placca|C|0|1|||||Gengivite acuta, causata da placca||22/04/2010 17:44|
09.523.0.1_V0|523.01|523.01|Gengivite acuta, non causata da placca|C|0|1|||||Gengivite acuta, non causata da placca||22/04/2010 17:44|
09.523.1_V0|523.1|523.1|Gengivite cronica|S|0|1|||||Gengivite cronica||22/04/2010 17:44|
09.523.1.0_V0|523.10|523.10|Gengivite cronica, causata da placca|C|0|1|||||Gengivite cronica, causata da placca||22/04/2010 17:44|
09.523.1.1_V0|523.11|523.11|Gengivite cronica, non causata da placca|C|0|1|||||Gengivite cronica, non causata da placca||22/04/2010 17:44|
09.523.2_V0|523.2|523.2|Recessione (tasche) gengivale|S|0|1|||||Recessione (tasche) gengivale||22/04/2010 17:44|
09.523.2.0_V0|523.20|523.20|Retrazione gengivale, non specificata|C|0|1|||||Retrazione gengivale, non specificata||22/04/2010 17:44|
09.523.2.1_V0|523.21|523.21|Retrazione gengivale, minima|C|0|1|||||Retrazione gengivale, minima||22/04/2010 17:44|
09.523.2.2_V0|523.22|523.22|Retrazione gengivale, moderata|C|0|1|||||Retrazione gengivale, moderata||22/04/2010 17:44|
09.523.2.3_V0|523.23|523.23|Retrazione gengivale, grave|C|0|1|||||Retrazione gengivale, grave||22/04/2010 17:44|
09.523.2.4_V0|523.24|523.24|Retrazione gengivale, localizzata|C|0|1|||||Retrazione gengivale, localizzata||22/04/2010 17:44|
09.523.2.5_V0|523.25|523.25|Retrazione gengivale, generalizzata|C|0|1|||||Retrazione gengivale, generalizzata||22/04/2010 17:44|
09.523.3_V0|523.3|523.3|Periodontite acuta e aggressiva|S|0|1|||||Periodontite acuta e aggressiva||22/04/2010 17:44|
09.523.3.0_V0|523.30|523.30|Periodontite aggressiva, non specificata|C|0|1|||||Periodontite aggressiva, non specificata||22/04/2010 17:44|
09.523.3.1_V0|523.31|523.31|Periodontite aggressiva, localizzata|C|0|1|||||Periodontite aggressiva, localizzata||22/04/2010 17:44|
09.523.3.2_V0|523.32|523.32|Periodontite aggressiva, generalizzata|C|0|1|||||Periodontite aggressiva, generalizzata||22/04/2010 17:44|
09.523.3.3_V0|523.33|523.33|Periodontite aggressiva|C|0|1|||||Periodontite aggressiva||22/04/2010 17:44|
09.523.4_V0|523.4|523.4|Periodontite cronica|S|0|1|||||Periodontite cronica||22/04/2010 17:44|
09.523.4.0_V0|523.40|523.40|Periodontite cronica, non specificata|C|0|1|||||Periodontite cronica, non specificata||22/04/2010 17:44|
09.523.4.1_V0|523.41|523.41|Periodontite cronica, localizzata|C|0|1|||||Periodontite cronica, localizzata||22/04/2010 17:44|
09.523.4.2_V0|523.42|523.42|Periodontite cronica, generalizzata|C|0|1|||||Periodontite cronica, generalizzata||22/04/2010 17:44|
09.523.5_V0|523.5|523.5|Periodontosi|C|0|1|||||Periodontosi||22/04/2010 17:44|
09.523.6_V0|523.6|523.6|Concrezioni dentarie|C|0|1|||||Concrezioni dentarie||22/04/2010 17:44|
09.523.8_V0|523.8|523.8|Altre malattie periodontali specificate|C|0|1|||||Altre malattie periodontali specificate||22/04/2010 17:44|
09.523.9_V0|523.9|523.9|Malattia gengivale e periodontale non specificata|C|0|1|||||Malattia gengivale e periodontale non specificata||22/04/2010 17:44|
09.524_V0|524|524|Anomalie odontofacciali, inclusa la malocclusione|S|0|1|||||Anomalie odontofacciali, inclusa la malocclusione||22/04/2010 17:44|
09.524.0_V0|524.0|524.0|Gravi anomalie di misura della mascella (inferiore o superiore)|S|0|1|||||Gravi anomalie di misura della mascella (inferiore o superiore)||22/04/2010 17:44|
09.524.0.0_V0|524.00|524.00|Anomalia non specificata|C|0|1|||||Anomalia non specificata||22/04/2010 17:44|
09.524.0.1_V0|524.01|524.01|Iperplasia della mascella superiore|C|0|1|||||Iperplasia della mascella superiore||22/04/2010 17:44|
09.524.0.2_V0|524.02|524.02|Iperplasia mandibolare|C|0|1|||||Iperplasia mandibolare||22/04/2010 17:44|
09.524.0.3_V0|524.03|524.03|Ipoplasia della mascella superiore|C|0|1|||||Ipoplasia della mascella superiore||22/04/2010 17:44|
09.524.0.4_V0|524.04|524.04|ipoplasia mandibolare|C|0|1|||||ipoplasia mandibolare||22/04/2010 17:44|
09.524.0.5_V0|524.05|524.05|Macrogenia|C|0|1|||||Macrogenia||22/04/2010 17:44|
09.524.0.6_V0|524.06|524.06|Microgenia|C|0|1|||||Microgenia||22/04/2010 17:44|
09.524.0.7_V0|524.07|524.07|Eccessiva tuberosita' della mascella (inferiore o superiore)|C|0|1|||||Eccessiva tuberosita' della mascella (inferiore o superiore)||22/04/2010 17:44|
09.524.0.9_V0|524.09|524.09|Altra anomalia specificata|C|0|1|||||Altra anomalia specificata||22/04/2010 17:44|
09.524.1_V0|524.1|524.1|Anomalie nei rapporti tra mascella e base del cranio|S|0|1|||||Anomalie nei rapporti tra mascella e base del cranio||22/04/2010 17:44|
09.524.1.0_V0|524.10|524.10|Anomalia non specificata|C|0|1|||||Anomalia non specificata||22/04/2010 17:44|
09.524.1.1_V0|524.11|524.11|Asimmetria della mascella superiore|C|0|1|||||Asimmetria della mascella superiore||22/04/2010 17:44|
09.524.1.2_V0|524.12|524.12|Altra asimmetria della mascella (inferiore o superiore)|C|0|1|||||Altra asimmetria della mascella (inferiore o superiore)||22/04/2010 17:44|
09.524.1.9_V0|524.19|524.19|Altra anomalia specificata|C|0|1|||||Altra anomalia specificata||22/04/2010 17:44|
09.524.2_V0|524.2|524.2|Anomalie nei rapporti dell’arco dentale|S|0|1|||||Anomalie nei rapporti dell’arco dentale||22/04/2010 17:44|
09.524.2.0_V0|524.20|524.20|Anomalie non specificate nei rapporti dell’arcata dentale|C|0|1|||||Anomalie non specificate nei rapporti dell’arcata dentale||22/04/2010 17:44|
09.524.2.1_V0|524.21|524.21|Malocclusione, classe di Angle I|C|0|1|||||Malocclusione, classe di Angle I||22/04/2010 17:44|
09.524.2.2_V0|524.22|524.22|Malocclusione, classe di Angle II|C|0|1|||||Malocclusione, classe di Angle II||22/04/2010 17:44|
09.524.2.3_V0|524.23|524.23|Malocclusione, classe di Angle III|C|0|1|||||Malocclusione, classe di Angle III||22/04/2010 17:44|
09.524.2.4_V0|524.24|524.24|Rapporto occlusale aperto anteriore|C|0|1|||||Rapporto occlusale aperto anteriore||22/04/2010 17:44|
09.524.2.5_V0|524.25|524.25|Rapporto occlusale aperto posteriore|C|0|1|||||Rapporto occlusale aperto posteriore||22/04/2010 17:44|
09.524.2.6_V0|524.26|524.26|Eccessivo accavallamento orizzontale|C|0|1|||||Eccessivo accavallamento orizzontale||22/04/2010 17:44|
09.524.2.7_V0|524.27|524.27|Articolazione inversa|C|0|1|||||Articolazione inversa||22/04/2010 17:44|
09.524.2.8_V0|524.28|524.28|Anomalie della distanza tra le arcate|C|0|1|||||Anomalie della distanza tra le arcate||22/04/2010 17:44|
09.524.2.9_V0|524.29|524.29|Altre anomalie dei rapporti dell’arcata dentale|C|0|1|||||Altre anomalie dei rapporti dell’arcata dentale||22/04/2010 17:44|
09.524.3_V0|524.3|524.3|Anomalie di posizione del dente di denti totalmente erotti|S|0|1|||||Anomalie di posizione del dente di denti totalmente erotti||22/04/2010 17:44|
09.524.3.0_V0|524.30|524.30|Anomalie della posizione dei denti non specificata|C|0|1|||||Anomalie della posizione dei denti non specificata||22/04/2010 17:44|
09.524.3.1_V0|524.31|524.31|Affollamento dei denti|C|0|1|||||Affollamento dei denti||22/04/2010 17:44|
09.524.3.2_V0|524.32|524.32|Eccessiva spaziatura dei denti|C|0|1|||||Eccessiva spaziatura dei denti||22/04/2010 17:44|
09.524.3.3_V0|524.33|524.33|Spostamento orizzontale dei denti|C|0|1|||||Spostamento orizzontale dei denti||22/04/2010 17:44|
09.524.3.4_V0|524.34|524.34|Spostamento verticale dei denti|C|0|1|||||Spostamento verticale dei denti||22/04/2010 17:44|
09.524.3.5_V0|524.35|524.35|Rotazione del dente/dei denti|C|0|1|||||Rotazione del dente/dei denti||22/04/2010 17:44|
09.524.3.6_V0|524.36|524.36|Insufficiente distanza interocclusale dei denti (cresta)|C|0|1|||||Insufficiente distanza interocclusale dei denti (cresta)||22/04/2010 17:44|
09.524.3.7_V0|524.37|524.37|Eccessiva distanza interocclusale dei denti|C|0|1|||||Eccessiva distanza interocclusale dei denti||22/04/2010 17:44|
09.524.3.9_V0|524.39|524.39|Altre anomalie della posizione dei denti|C|0|1|||||Altre anomalie della posizione dei denti||22/04/2010 17:44|
09.524.4_V0|524.4|524.4|Malocclusione, non specificata|C|0|1|||||Malocclusione, non specificata||22/04/2010 17:44|
09.524.5_V0|524.5|524.5|Anomalie della funzionalita' odontofacciale|S|0|1|||||Anomalie della funzionalita' odontofacciale||22/04/2010 17:44|
09.524.5.0_V0|524.50|524.50|Anomalie della funzionalita' odontofacciale|C|0|1|||||Anomalie della funzionalita' odontofacciale||22/04/2010 17:44|
09.524.5.1_V0|524.51|524.51|Anomala chiusura della mandibola|C|0|1|||||Anomala chiusura della mandibola||22/04/2010 17:44|
09.524.5.2_V0|524.52|524.52|Limitato spazio di movimento della mandibola|C|0|1|||||Limitato spazio di movimento della mandibola||22/04/2010 17:44|
09.524.5.3_V0|524.53|524.53|Deviazione nell’apertura e nella chiusura della mandibola|C|0|1|||||Deviazione nell’apertura e nella chiusura della mandibola||22/04/2010 17:44|
09.524.5.4_V0|524.54|524.54|Insufficiente orientamento anteriore|C|0|1|||||Insufficiente orientamento anteriore||22/04/2010 17:44|
09.524.5.5_V0|524.55|524.55|Discrepanza di occlusione centrica in massima intercuspidazione|C|0|1|||||Discrepanza di occlusione centrica in massima intercuspidazione||22/04/2010 17:44|
09.524.5.6_V0|524.56|524.56|Interferenza del lato non lavorante|C|0|1|||||Interferenza del lato non lavorante||22/04/2010 17:44|
09.524.5.7_V0|524.57|524.57|Mancanza del supporto occlusale posteriore|C|0|1|||||Mancanza del supporto occlusale posteriore||22/04/2010 17:44|
09.524.5.9_V0|524.59|524.59|Altre anomalie funzionali odontofacciali|C|0|1|||||Altre anomalie funzionali odontofacciali||22/04/2010 17:44|
09.524.6_V0|524.6|524.6|Disturbi dell’articolazione temporomandibolare|S|0|1|||||Disturbi dell’articolazione temporomandibolare||22/04/2010 17:44|
09.524.6.0_V0|524.60|524.60|Disturbi dell’articolazione temporomandibolare, non specificati|C|0|1|||||Disturbi dell’articolazione temporomandibolare, non specificati||22/04/2010 17:44|
09.524.6.1_V0|524.61|524.61|Adesioni e anchilosi (ossea o fibrosa)|C|0|1|||||Adesioni e anchilosi (ossea o fibrosa)||22/04/2010 17:44|
09.524.6.2_V0|524.62|524.62|Dolore dell’articolazione temporomandibolare|C|0|1|||||Dolore dell’articolazione temporomandibolare||22/04/2010 17:44|
09.524.6.3_V0|524.63|524.63|Disturbo del disco articolare (ridotto o non-ridotto)|C|0|1|||||Disturbo del disco articolare (ridotto o non-ridotto)||22/04/2010 17:44|
09.524.6.4_V0|524.64|524.64|Rumori dell’articolazione temporomandibolare nell’apertura e/o chiusura della mandibola|C|0|1|||||Rumori dell’articolazione temporomandibolare nell’apertura e/o chiusura della mandibola||22/04/2010 17:44|
09.524.6.9_V0|524.69|524.69|Altri disturbi specificati dell’articolazione temporomandibolare|C|0|1|||||Altri disturbi specificati dell’articolazione temporomandibolare||22/04/2010 17:44|
09.524.7_V0|524.7|524.7|Anomalie dell’alveolo dentario|S|0|1|||||Anomalie dell’alveolo dentario||22/04/2010 17:44|
09.524.7.0_V0|524.70|524.70|Anomalia alveolare non specificata|C|0|1|||||Anomalia alveolare non specificata||22/04/2010 17:44|
09.524.7.1_V0|524.71|524.71|Iperplasia alveolare della mascella|C|0|1|||||Iperplasia alveolare della mascella||22/04/2010 17:44|
09.524.7.2_V0|524.72|524.72|Iperplasia alveolare della mandibola|C|0|1|||||Iperplasia alveolare della mandibola||22/04/2010 17:44|
09.524.7.3_V0|524.73|524.73|Ipoplasia alveolare della mascella|C|0|1|||||Ipoplasia alveolare della mascella||22/04/2010 17:44|
09.524.7.4_V0|524.74|524.74|Ipoplasia alveolare della mandibola|C|0|1|||||Ipoplasia alveolare della mandibola||22/04/2010 17:44|
09.524.7.5_V0|524.75|524.75|Spostamento verticale dell’alveolo e dei denti|C|0|1|||||Spostamento verticale dell’alveolo e dei denti||22/04/2010 17:44|
09.524.7.6_V0|524.76|524.76|Deviazione del piano occlusale|C|0|1|||||Deviazione del piano occlusale||22/04/2010 17:44|
09.524.7.9_V0|524.79|524.79|Altra anomalia alveolare specificata|C|0|1|||||Altra anomalia alveolare specificata||22/04/2010 17:44|
09.524.8_V0|524.8|524.8|Altre anomalie odontofacciali specificate|S|0|1|||||Altre anomalie odontofacciali specificate||22/04/2010 17:44|
09.524.8.1_V0|524.81|524.81|Lesione dei tessuti molli anteriori|C|0|1|||||Lesione dei tessuti molli anteriori||22/04/2010 17:44|
09.524.8.2_V0|524.82|524.82|Lesione dei tessuti molli posteriori|C|0|1|||||Lesione dei tessuti molli posteriori||22/04/2010 17:44|
09.524.8.9_V0|524.89|524.89|Altre anomalie odontofacciali specificate|C|0|1|||||Altre anomalie odontofacciali specificate||22/04/2010 17:44|
09.524.9_V0|524.9|524.9|Anomalie odontofacciali non specificate|C|0|1|||||Anomalie odontofacciali non specificate||22/04/2010 17:44|
09.525_V0|525|525|Altre malattie e condizioni dei denti e delle strutture di supporto|S|0|1|||||Altre malattie e condizioni dei denti e delle strutture di supporto||22/04/2010 17:44|
09.525.0_V0|525.0|525.0|Esfoliazione dei denti dovuta a cause sistemiche|C|0|1|||||Esfoliazione dei denti dovuta a cause sistemiche||22/04/2010 17:44|
09.525.1_V0|525.1|525.1|Perdita dei denti per trauma, estrazione o malattia locale periodontale|S|0|1|||||Perdita dei denti per trauma, estrazione o malattia locale periodontale||22/04/2010 17:44|
09.525.1.0_V0|525.10|525.10|Assenza acquisita dei denti, non specificata|C|0|1|||||Assenza acquisita dei denti, non specificata||22/04/2010 17:44|
09.525.1.1_V0|525.11|525.11|Perdita dei denti successiva a trauma|C|0|1|||||Perdita dei denti successiva a trauma||22/04/2010 17:44|
09.525.1.2_V0|525.12|525.12|Perdita dei denti successiva a malattia periodontale|C|0|1|||||Perdita dei denti successiva a malattia periodontale||22/04/2010 17:44|
09.525.1.3_V0|525.13|525.13|Perdita di denti in seguito a carie|C|0|1|||||Perdita di denti in seguito a carie||22/04/2010 17:44|
09.525.1.9_V0|525.19|525.19|Altra perdita di denti|C|0|1|||||Altra perdita di denti||22/04/2010 17:44|
09.525.2_V0|525.2|525.2|Atrofia della cresta alveolare edentula|S|0|1|||||Atrofia della cresta alveolare edentula||22/04/2010 17:44|
09.525.2.0_V0|525.20|525.20|Atrofia della cresta alveolare edentula non specificata|C|0|1|||||Atrofia della cresta alveolare edentula non specificata||22/04/2010 17:44|
09.525.2.1_V0|525.21|525.21|Atrofia minima della mandibola|C|0|1|||||Atrofia minima della mandibola||22/04/2010 17:44|
09.525.2.2_V0|525.22|525.22|Atrofia moderata della mandibola|C|0|1|||||Atrofia moderata della mandibola||22/04/2010 17:44|
09.525.2.3_V0|525.23|525.23|Atrofia severa della mandibola|C|0|1|||||Atrofia severa della mandibola||22/04/2010 17:44|
09.525.2.4_V0|525.24|525.24|Atrofia minima della mascella|C|0|1|||||Atrofia minima della mascella||22/04/2010 17:44|
09.525.2.5_V0|525.25|525.25|Atrofia moderata della mascella|C|0|1|||||Atrofia moderata della mascella||22/04/2010 17:44|
09.525.2.6_V0|525.26|525.26|Atrofia grave della mascella|C|0|1|||||Atrofia grave della mascella||22/04/2010 17:44|
09.525.3_V0|525.3|525.3|Radice dentaria ritenuta|C|0|1|||||Radice dentaria ritenuta||22/04/2010 17:44|
09.525.4_V0|525.4|525.4|Edentulismo completo|S|0|1|||||Edentulismo completo||22/04/2010 17:44|
09.525.4.0_V0|525.40|525.40|Edentulismo completo, non specificato|C|0|1|||||Edentulismo completo, non specificato||22/04/2010 17:44|
09.525.4.1_V0|525.41|525.41|Edentulismo completo, classe I|C|0|1|||||Edentulismo completo, classe I||22/04/2010 17:44|
09.525.4.2_V0|525.42|525.42|Edentulismo completo, classe II|C|0|1|||||Edentulismo completo, classe II||22/04/2010 17:44|
09.525.4.3_V0|525.43|525.43|Edentulismo completo, classe III|C|0|1|||||Edentulismo completo, classe III||22/04/2010 17:44|
09.525.4.4_V0|525.44|525.44|Edentulismo completo, classe IV|C|0|1|||||Edentulismo completo, classe IV||22/04/2010 17:44|
09.525.5_V0|525.5|525.5|Edentulismo parziale|S|0|1|||||Edentulismo parziale||22/04/2010 17:44|
09.525.5.0_V0|525.50|525.50|Edentulismo parziale, non specificato|C|0|1|||||Edentulismo parziale, non specificato||22/04/2010 17:44|
09.525.5.1_V0|525.51|525.51|Edentulismo parziale, classe I|C|0|1|||||Edentulismo parziale, classe I||22/04/2010 17:44|
09.525.5.2_V0|525.52|525.52|Edentulismo parziale, classe II|C|0|1|||||Edentulismo parziale, classe II||22/04/2010 17:44|
09.525.5.3_V0|525.53|525.53|Edentulismo parziale, classe III|C|0|1|||||Edentulismo parziale, classe III||22/04/2010 17:44|
09.525.5.4_V0|525.54|525.54|Edentulismo parziale, classe IV|C|0|1|||||Edentulismo parziale, classe IV||22/04/2010 17:44|
09.525.6_V0|525.6|525.6|Ricostruzione insoddisfacente di un dente|S|0|1|||||Ricostruzione insoddisfacente di un dente||22/04/2010 17:44|
09.525.6.0_V0|525.60|525.60|Ricostruzione insoddisfacente di un dente non specificato|C|0|1|||||Ricostruzione insoddisfacente di un dente non specificato||22/04/2010 17:44|
09.525.6.1_V0|525.61|525.61|Margini di ricostruzione aperti|C|0|1|||||Margini di ricostruzione aperti||22/04/2010 17:44|
09.525.6.2_V0|525.62|525.62|Sporgenza non riparabile dei materiali usati nella ricostruzione dentale|C|0|1|||||Sporgenza non riparabile dei materiali usati nella ricostruzione dentale||22/04/2010 17:44|
09.525.6.3_V0|525.63|525.63|Materiale usato nella ricostruzione dentale fratturato senza perdita di materiale|C|0|1|||||Materiale usato nella ricostruzione dentale fratturato senza perdita di materiale||22/04/2010 17:44|
09.525.6.4_V0|525.64|525.64|Materiale usato nella ricostruzione dentale fratturato con perdita di materiale|C|0|1|||||Materiale usato nella ricostruzione dentale fratturato con perdita di materiale||22/04/2010 17:44|
09.525.6.5_V0|525.65|525.65|Contorno di ricostruzione dentale esistente non compatibile biologicamente con la salute orale|C|0|1|||||Contorno di ricostruzione dentale esistente non compatibile biologicamente con la salute orale||22/04/2010 17:44|
09.525.6.6_V0|525.66|525.66|Allergia al materiale utilizzato nella ricostruzione esistente|C|0|1|||||Allergia al materiale utilizzato nella ricostruzione esistente||22/04/2010 17:44|
