#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.104|CODESYSTEMNAME=ICD9PROC|CODESYSTEMDISPLAYNAME=ICD9 PRESTAZIONI|VERSION=2002|DESCRIPTION=ICD9 Procedure Codes|LANGUAGE=it|AUTHORITYNAME=National Center for Health Statistics|AUTHORITYDESCRIPTION=World Health Organization|AUTHORITYCONTACTINFORMATION=http://www.cdc.gov/nchs/icd9.htm|VALIDFROM=22/04/2010 10:22
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
23.5_V2002|23.5|Impianto di dente|Impianto di dente|S|0|1|||Impianto di dente||22/04/2010 10:22|
23.6_V2002|23.6|Impianto di protesi dentaria|Impianto di protesi dentaria|S|0|1|||Impianto di protesi dentaria||22/04/2010 10:22|
23.7_V2002|23.7|Apicectomia e terapia canalare|Apicectomia e terapia canalare|S|0|1|||Apicectomia e terapia canalare||22/04/2010 10:22|
23.7.0_V2002|23.70|Terapia canalare, SAI|Terapia canalare, SAI|C|0|1|||Terapia canalare, SAI||22/04/2010 10:22|
23.7.1_V2002|23.71|Terapia canalare con irrigazione|Terapia canalare con irrigazione|C|0|1|||Terapia canalare con irrigazione||22/04/2010 10:22|
23.7.2_V2002|23.72|Terapia canalare con apicectomia|Terapia canalare con apicectomia|C|0|1|||Terapia canalare con apicectomia||22/04/2010 10:22|
23.7.3_V2002|23.73|Apicectomia|Apicectomia|C|0|1|||Apicectomia||22/04/2010 10:22|
24_V2002|-|Altri interventi su denti, gengive e alveoli|Altri interventi su denti, gengive e alveoli|T|0|1|||Altri interventi su denti, gengive e alveoli||22/04/2010 10:22|
24.0_V2002|24.0|Incisione di gengiva o di osso alveolare|Incisione di gengiva o di osso alveolare|S|0|1|||Incisione di gengiva o di osso alveolare||22/04/2010 10:22|
24.1_V2002|24.1|Procedure diagnostiche su denti, gengive e alveoli|Procedure diagnostiche su denti, gengive e alveoli|S|0|1|||Procedure diagnostiche su denti, gengive e alveoli||22/04/2010 10:22|
24.1.1_V2002|24.11|Biopsia della gengiva|Biopsia della gengiva|C|0|1|||Biopsia della gengiva||22/04/2010 10:22|
24.1.2_V2002|24.12|Biopsia dell'alveolo|Biopsia dell'alveolo|C|0|1|||Biopsia dell'alveolo||22/04/2010 10:22|
24.1.9_V2002|24.19|Altri procedure sui denti, gengive e alveoli|Altri procedure sui denti, gengive e alveoli|C|0|1|||Altri procedure sui denti, gengive e alveoli||22/04/2010 10:22|
24.2_V2002|24.2|Gengivoplastica|Gengivoplastica|S|0|1|||Gengivoplastica||22/04/2010 10:22|
24.3_V2002|24.3|Altri interventi sulla gengiva|Altri interventi sulla gengiva|S|0|1|||Altri interventi sulla gengiva||22/04/2010 10:22|
24.3.1_V2002|24.31|Asportazione di lesione o tessuto della gengiva|Asportazione di lesione o tessuto della gengiva|C|0|1|||Asportazione di lesione o tessuto della gengiva||22/04/2010 10:22|
24.3.2_V2002|24.32|Sutura di lacerazione della gengiva|Sutura di lacerazione della gengiva|C|0|1|||Sutura di lacerazione della gengiva||22/04/2010 10:22|
24.3.9_V2002|24.39|Altri interventi sulla gengiva|Altri interventi sulla gengiva|C|0|1|||Altri interventi sulla gengiva||22/04/2010 10:22|
24.4_V2002|24.4|Asportazione di lesione dentaria della mandibola|Asportazione di lesione dentaria della mandibola|S|0|1|||Asportazione di lesione dentaria della mandibola||22/04/2010 10:22|
24.5_V2002|24.5|Alveoloplastica|Alveoloplastica|S|0|1|||Alveoloplastica||22/04/2010 10:22|
24.6_V2002|24.6|Esposizione chirurgica di dente|Esposizione chirurgica di dente|S|0|1|||Esposizione chirurgica di dente||22/04/2010 10:22|
24.7_V2002|24.7|Applicazione di sussidio ortodontico|Applicazione di sussidio ortodontico|S|0|1|||Applicazione di sussidio ortodontico||22/04/2010 10:22|
24.8_V2002|24.8|Altro intervento ortodontico|Altro intervento ortodontico|S|0|1|||Altro intervento ortodontico||22/04/2010 10:22|
24.9_V2002|24.9|Altri interventi sui denti|Altri interventi sui denti|S|0|1|||Altri interventi sui denti||22/04/2010 10:22|
24.9.1_V2002|24.91|Estensione o approfondimento del solco linguale o labiale|Estensione o approfondimento del solco linguale o labiale|C|0|1|||Estensione o approfondimento del solco linguale o labiale||22/04/2010 10:22|
24.9.9_V2002|24.99|Altri interventi sui denti|Altri interventi sui denti|C|0|1|||Altri interventi sui denti||22/04/2010 10:22|
25_V2002|-|Interventi sulla lingua|Interventi sulla lingua|T|0|1|||Interventi sulla lingua||22/04/2010 10:22|
25.0_V2002|25.0|Procedure diagnostiche sulla lingua|Procedure diagnostiche sulla lingua|S|0|1|||Procedure diagnostiche sulla lingua||22/04/2010 10:22|
25.0.1_V2002|25.01|Biopsia [agobiopsia] della lingua|Biopsia [agobiopsia] della lingua|C|0|1|||Biopsia [agobiopsia] della lingua||22/04/2010 10:22|
25.0.2_V2002|25.02|Biopsia a cielo aperto della lingua (biopsia a cuneo)|Biopsia a cielo aperto della lingua (biopsia a cuneo)|C|0|1|||Biopsia a cielo aperto della lingua (biopsia a cuneo)||22/04/2010 10:22|
25.0.9_V2002|25.09|Altra procedura diagnostica sulla lingua|Altra procedura diagnostica sulla lingua|C|0|1|||Altra procedura diagnostica sulla lingua||22/04/2010 10:22|
25.1_V2002|25.1|Asportazione o demolizione di lesione o tessuto della lingua|Asportazione o demolizione di lesione o tessuto della lingua|S|0|1|||Asportazione o demolizione di lesione o tessuto della lingua||22/04/2010 10:22|
25.2_V2002|25.2|Glossectomia parziale|Glossectomia parziale|S|0|1|||Glossectomia parziale||22/04/2010 10:22|
25.3_V2002|25.3|Glossectomia completa|Glossectomia completa|S|0|1|||Glossectomia completa||22/04/2010 10:22|
25.4_V2002|25.4|Glossectomia radicale|Glossectomia radicale|S|0|1|||Glossectomia radicale||22/04/2010 10:22|
25.5_V2002|25.5|Riparazione della lingua e glossoplastica|Riparazione della lingua e glossoplastica|S|0|1|||Riparazione della lingua e glossoplastica||22/04/2010 10:22|
25.5.1_V2002|25.51|Sutura di lacerazione della lingua|Sutura di lacerazione della lingua|C|0|1|||Sutura di lacerazione della lingua||22/04/2010 10:22|
25.5.9_V2002|25.59|Altri interventi di riparazione e plastica sulla lingua|Altri interventi di riparazione e plastica sulla lingua|C|0|1|||Altri interventi di riparazione e plastica sulla lingua||22/04/2010 10:22|
25.9_V2002|25.9|Altri interventi sulla lingua|Altri interventi sulla lingua|S|0|1|||Altri interventi sulla lingua||22/04/2010 10:22|
25.9.1_V2002|25.91|Frenulotomia linguale|Frenulotomia linguale|C|0|1|||Frenulotomia linguale||22/04/2010 10:22|
25.9.2_V2002|25.92|Frenulectomia linguale|Frenulectomia linguale|C|0|1|||Frenulectomia linguale||22/04/2010 10:22|
25.9.3_V2002|25.93|Lisi di aderenze della lingua|Lisi di aderenze della lingua|C|0|1|||Lisi di aderenze della lingua||22/04/2010 10:22|
25.9.4_V2002|25.94|Altra glossotomia|Altra glossotomia|C|0|1|||Altra glossotomia||22/04/2010 10:22|
25.9.9_V2002|25.99|Altri interventi sulla lingua|Altri interventi sulla lingua|C|0|1|||Altri interventi sulla lingua||22/04/2010 10:22|
26_V2002|-|Interventi sulle ghiandole e sui dotti salivari|Interventi sulle ghiandole e sui dotti salivari|T|0|1|||Interventi sulle ghiandole e sui dotti salivari||22/04/2010 10:22|
26.0_V2002|26.0|Incisione delle ghiandole o dotti salivari|Incisione delle ghiandole o dotti salivari|S|0|1|||Incisione delle ghiandole o dotti salivari||22/04/2010 10:22|
26.1_V2002|26.1|Procedure diagnostiche sulle ghiandole e dotti salivari|Procedure diagnostiche sulle ghiandole e dotti salivari|S|0|1|||Procedure diagnostiche sulle ghiandole e dotti salivari||22/04/2010 10:22|
26.1.1_V2002|26.11|Biopsia [agobiopsia] di ghiandola o dotto salivare|Biopsia [agobiopsia] di ghiandola o dotto salivare|C|0|1|||Biopsia [agobiopsia] di ghiandola o dotto salivare||22/04/2010 10:22|
26.1.2_V2002|26.12|Biopsia a cielo aperto di ghiandola o dotto salivare|Biopsia a cielo aperto di ghiandola o dotto salivare|C|0|1|||Biopsia a cielo aperto di ghiandola o dotto salivare||22/04/2010 10:22|
26.1.9_V2002|26.19|Altre procedure diagnostiche sulle ghiandole e dotti salivari|Altre procedure diagnostiche sulle ghiandole e dotti salivari|C|0|1|||Altre procedure diagnostiche sulle ghiandole e dotti salivari||22/04/2010 10:22|
26.2_V2002|26.2|Asportazione di lesione di ghiandola salivare|Asportazione di lesione di ghiandola salivare|S|0|1|||Asportazione di lesione di ghiandola salivare||22/04/2010 10:22|
26.2.1_V2002|26.21|Marsupializzazione di cisti di ghiandola salivare|Marsupializzazione di cisti di ghiandola salivare|C|0|1|||Marsupializzazione di cisti di ghiandola salivare||22/04/2010 10:22|
26.2.9_V2002|26.29|Altra asportazione di lesione di ghiandola salivare|Altra asportazione di lesione di ghiandola salivare|C|0|1|||Altra asportazione di lesione di ghiandola salivare||22/04/2010 10:22|
26.3_V2002|26.3|Scialoadenectomia|Scialoadenectomia|S|0|1|||Scialoadenectomia||22/04/2010 10:22|
26.3.0_V2002|26.30|Scialoadenectomia, SAI|Scialoadenectomia, SAI|C|0|1|||Scialoadenectomia, SAI||22/04/2010 10:22|
26.3.1_V2002|26.31|Scialoadenectomia parziale|Scialoadenectomia parziale|C|0|1|||Scialoadenectomia parziale||22/04/2010 10:22|
26.3.2_V2002|26.32|Scialoadenectomia completa|Scialoadenectomia completa|C|0|1|||Scialoadenectomia completa||22/04/2010 10:22|
26.4_V2002|26.4|Riparazione di ghiandola o dotto salivare|Riparazione di ghiandola o dotto salivare|S|0|1|||Riparazione di ghiandola o dotto salivare||22/04/2010 10:22|
26.4.1_V2002|26.41|Sutura di lacerazione di ghiandola salivare|Sutura di lacerazione di ghiandola salivare|C|0|1|||Sutura di lacerazione di ghiandola salivare||22/04/2010 10:22|
26.4.2_V2002|26.42|Chiusura di fistola di ghiandola salivare|Chiusura di fistola di ghiandola salivare|C|0|1|||Chiusura di fistola di ghiandola salivare||22/04/2010 10:22|
26.4.9_V2002|26.49|Altri interventi di riparazione e di plastica su ghiandole o dotti salivari|Altri interventi di riparazione e di plastica su ghiandole o dotti salivari|C|0|1|||Altri interventi di riparazione e di plastica su ghiandole o dotti salivari||22/04/2010 10:22|
26.9_V2002|26.9|Altri interventi su ghiandole o dotti salivari|Altri interventi su ghiandole o dotti salivari|S|0|1|||Altri interventi su ghiandole o dotti salivari||22/04/2010 10:22|
26.9.1_V2002|26.91|Specillazione di dotto salivare|Specillazione di dotto salivare|C|0|1|||Specillazione di dotto salivare||22/04/2010 10:22|
26.9.9_V2002|26.99|Altri interventi su ghiandole o dotti salivari|Altri interventi su ghiandole o dotti salivari|C|0|1|||Altri interventi su ghiandole o dotti salivari||22/04/2010 10:22|
27_V2002|-|Altri interventi sulla bocca e sulla faccia|Altri interventi sulla bocca e sulla faccia|T|0|1|||Altri interventi sulla bocca e sulla faccia||22/04/2010 10:22|
27.0_V2002|27.0|Drenaggio della faccia e del pavimento della bocca|Drenaggio della faccia e del pavimento della bocca|S|0|1|||Drenaggio della faccia e del pavimento della bocca||22/04/2010 10:22|
27.1_V2002|27.1|Incisione del palato|Incisione del palato|S|0|1|||Incisione del palato||22/04/2010 10:22|
27.2_V2002|27.2|Procedure diagnostiche sulla cavità orale|Procedure diagnostiche sulla cavità orale|S|0|1|||Procedure diagnostiche sulla cavità orale||22/04/2010 10:22|
27.2.1_V2002|27.21|Biopsia del palato osseo|Biopsia del palato osseo|C|0|1|||Biopsia del palato osseo||22/04/2010 10:22|
27.2.2_V2002|27.22|Biopsia dell'ugola|Biopsia dell'ugola|C|0|1|||Biopsia dell'ugola||22/04/2010 10:22|
27.2.3_V2002|27.23|Biopsia del labbro|Biopsia del labbro|C|0|1|||Biopsia del labbro||22/04/2010 10:22|
27.2.4_V2002|27.24|Biopsia della bocca, struttura non specificata|Biopsia della bocca, struttura non specificata|C|0|1|||Biopsia della bocca, struttura non specificata||22/04/2010 10:22|
27.2.9_V2002|27.29|Altre procedure diagnostiche sulla cavità orale|Altre procedure diagnostiche sulla cavità orale|C|0|1|||Altre procedure diagnostiche sulla cavità orale||22/04/2010 10:22|
27.3_V2002|27.3|Asportazione di lesione o tessuto del palato osseo|Asportazione di lesione o tessuto del palato osseo|S|0|1|||Asportazione di lesione o tessuto del palato osseo||22/04/2010 10:22|
27.3.1_V2002|27.31|Asportazione o demolizione locale di lesione o tessuto del palato osseo|Asportazione o demolizione locale di lesione o tessuto del palato osseo|C|0|1|||Asportazione o demolizione locale di lesione o tessuto del palato osseo||22/04/2010 10:22|
27.3.2_V2002|27.32|Asportazione o demolizione ampia di lesione o tessuto del palato osseo|Asportazione o demolizione ampia di lesione o tessuto del palato osseo|C|0|1|||Asportazione o demolizione ampia di lesione o tessuto del palato osseo||22/04/2010 10:22|
27.4_V2002|27.4|Asportazione di altre parti della bocca|Asportazione di altre parti della bocca|S|0|1|||Asportazione di altre parti della bocca||22/04/2010 10:22|
27.4.1_V2002|27.41|Frenulectomia labiale|Frenulectomia labiale|C|0|1|||Frenulectomia labiale||22/04/2010 10:22|
27.4.2_V2002|27.42|Ampia asportazione di lesione del labbro|Ampia asportazione di lesione del labbro|C|0|1|||Ampia asportazione di lesione del labbro||22/04/2010 10:22|
27.4.3_V2002|27.43|Altra asportazione di lesione o tessuto del labbro|Altra asportazione di lesione o tessuto del labbro|C|0|1|||Altra asportazione di lesione o tessuto del labbro||22/04/2010 10:22|
27.4.9_V2002|27.49|Altra asportazione della bocca|Altra asportazione della bocca|C|0|1|||Altra asportazione della bocca||22/04/2010 10:22|
27.5_V2002|27.5|Riparazione plastica della bocca|Riparazione plastica della bocca|S|0|1|||Riparazione plastica della bocca||22/04/2010 10:22|
27.5.1_V2002|27.51|Sutura di lacerazione del labbro|Sutura di lacerazione del labbro|C|0|1|||Sutura di lacerazione del labbro||22/04/2010 10:22|
27.5.2_V2002|27.52|Sutura di lacerazione di altra parte della bocca|Sutura di lacerazione di altra parte della bocca|C|0|1|||Sutura di lacerazione di altra parte della bocca||22/04/2010 10:22|
27.5.3_V2002|27.53|Chiusura di fistola della bocca|Chiusura di fistola della bocca|C|0|1|||Chiusura di fistola della bocca||22/04/2010 10:22|
27.5.4_V2002|27.54|Riparazione di schisi del labbro|Riparazione di schisi del labbro|C|0|1|||Riparazione di schisi del labbro||22/04/2010 10:22|
27.5.5_V2002|27.55|Innesto (a tutto spessore) di cute su labbro e bocca|Innesto (a tutto spessore) di cute su labbro e bocca|C|0|1|||Innesto (a tutto spessore) di cute su labbro e bocca||22/04/2010 10:22|
27.5.6_V2002|27.56|Altro innesto di cute su labbro e bocca|Altro innesto di cute su labbro e bocca|C|0|1|||Altro innesto di cute su labbro e bocca||22/04/2010 10:22|
27.5.7_V2002|27.57|Impianto di innesto peduncolato o a lembo su labbro e bocca|Impianto di innesto peduncolato o a lembo su labbro e bocca|C|0|1|||Impianto di innesto peduncolato o a lembo su labbro e bocca||22/04/2010 10:22|
27.5.9_V2002|27.59|Altra riparazione plastica della bocca|Altra riparazione plastica della bocca|C|0|1|||Altra riparazione plastica della bocca||22/04/2010 10:22|
27.6_V2002|27.6|Palatoplastica|Palatoplastica|S|0|1|||Palatoplastica||22/04/2010 10:22|
27.6.1_V2002|27.61|Sutura di lacerazione del palato|Sutura di lacerazione del palato|C|0|1|||Sutura di lacerazione del palato||22/04/2010 10:22|
27.6.2_V2002|27.62|Correzione di palatoschisi|Correzione di palatoschisi|C|0|1|||Correzione di palatoschisi||22/04/2010 10:22|
27.6.3_V2002|27.63|Revisione di correzione di palatoschisi|Revisione di correzione di palatoschisi|C|0|1|||Revisione di correzione di palatoschisi||22/04/2010 10:22|
27.6.9_V2002|27.69|Altra riparazione plastica del palato|Altra riparazione plastica del palato|C|0|1|||Altra riparazione plastica del palato||22/04/2010 10:22|
27.7_V2002|27.7|Interventi sull'ugola|Interventi sull'ugola|S|0|1|||Interventi sull'ugola||22/04/2010 10:22|
27.7.1_V2002|27.71|Incisione dell'ugola|Incisione dell'ugola|C|0|1|||Incisione dell'ugola||22/04/2010 10:22|
27.7.2_V2002|27.72|Asportazione dell'ugola|Asportazione dell'ugola|C|0|1|||Asportazione dell'ugola||22/04/2010 10:22|
27.7.3_V2002|27.73|Riparazione dell'ugola|Riparazione dell'ugola|C|0|1|||Riparazione dell'ugola||22/04/2010 10:22|
27.7.9_V2002|27.79|Altri interventi sull'ugola|Altri interventi sull'ugola|C|0|1|||Altri interventi sull'ugola||22/04/2010 10:22|
27.9_V2002|27.9|Altri interventi su bocca e faccia|Altri interventi su bocca e faccia|S|0|1|||Altri interventi su bocca e faccia||22/04/2010 10:22|
27.9.1_V2002|27.91|Frenulotomia labiale|Frenulotomia labiale|C|0|1|||Frenulotomia labiale||22/04/2010 10:22|
27.9.2_V2002|27.92|Incisione della bocca, struttura non specificata|Incisione della bocca, struttura non specificata|C|0|1|||Incisione della bocca, struttura non specificata||22/04/2010 10:22|
27.9.9_V2002|27.99|Altri interventi sulla cavità orale|Altri interventi sulla cavità orale|C|0|1|||Altri interventi sulla cavità orale||22/04/2010 10:22|
28_V2002|-|Interventi sulle tonsille e sulle adenoidi|Interventi sulle tonsille e sulle adenoidi|T|0|1|||Interventi sulle tonsille e sulle adenoidi||22/04/2010 10:22|
28.0_V2002|28.0|Incisione e drenaggio di strutture tonsillari e peritonsillari|Incisione e drenaggio di strutture tonsillari e peritonsillari|S|0|1|||Incisione e drenaggio di strutture tonsillari e peritonsillari||22/04/2010 10:22|
28.1_V2002|28.1|Procedure diagnostiche su tonsille e adenoidi|Procedure diagnostiche su tonsille e adenoidi|S|0|1|||Procedure diagnostiche su tonsille e adenoidi||22/04/2010 10:22|
28.1.1_V2002|28.11|Biopsia di tonsille e adenoidi|Biopsia di tonsille e adenoidi|C|0|1|||Biopsia di tonsille e adenoidi||22/04/2010 10:22|
28.1.9_V2002|28.19|Altri interventi diagnostici su tonsille e adenoidi|Altri interventi diagnostici su tonsille e adenoidi|C|0|1|||Altri interventi diagnostici su tonsille e adenoidi||22/04/2010 10:22|
28.2_V2002|28.2|Tonsillectomia senza adenoidectomia|Tonsillectomia senza adenoidectomia|S|0|1|||Tonsillectomia senza adenoidectomia||22/04/2010 10:22|
28.3_V2002|28.3|Tonsillectomia con adenoidectomia|Tonsillectomia con adenoidectomia|S|0|1|||Tonsillectomia con adenoidectomia||22/04/2010 10:22|
28.4_V2002|28.4|Asportazione di residuo tonsillare|Asportazione di residuo tonsillare|S|0|1|||Asportazione di residuo tonsillare||22/04/2010 10:22|
28.5_V2002|28.5|Asportazione di tonsilla linguale|Asportazione di tonsilla linguale|S|0|1|||Asportazione di tonsilla linguale||22/04/2010 10:22|
28.6_V2002|28.6|Adenoidectomia senza tonsillectomia|Adenoidectomia senza tonsillectomia|S|0|1|||Adenoidectomia senza tonsillectomia||22/04/2010 10:22|
28.7_V2002|28.7|Controllo di emorragia dopo tonsillectomia e adenoidectomia|Controllo di emorragia dopo tonsillectomia e adenoidectomia|S|0|1|||Controllo di emorragia dopo tonsillectomia e adenoidectomia||22/04/2010 10:22|
28.9_V2002|28.9|Altri interventi su tonsille e adenoidi|Altri interventi su tonsille e adenoidi|S|0|1|||Altri interventi su tonsille e adenoidi||22/04/2010 10:22|
28.9.1_V2002|28.91|Rimozione di corpo estraneo da tonsille e adenoidi mediante incisione|Rimozione di corpo estraneo da tonsille e adenoidi mediante incisione|C|0|1|||Rimozione di corpo estraneo da tonsille e adenoidi mediante incisione||22/04/2010 10:22|
28.9.2_V2002|28.92|Asportazione di lesione di tonsille e adenoidi|Asportazione di lesione di tonsille e adenoidi|C|0|1|||Asportazione di lesione di tonsille e adenoidi||22/04/2010 10:22|
28.9.9_V2002|28.99|Altri interventi su tonsille e adenoidi|Altri interventi su tonsille e adenoidi|C|0|1|||Altri interventi su tonsille e adenoidi||22/04/2010 10:22|
29_V2002|-|Interventi sul faringe|Interventi sul faringe|T|0|1|||Interventi sul faringe||22/04/2010 10:22|
29.0_V2002|29.0|Faringotomia|Faringotomia|S|0|1|||Faringotomia||22/04/2010 10:22|
29.1_V2002|29.1|Procedure diagnostiche sul faringe|Procedure diagnostiche sul faringe|S|0|1|||Procedure diagnostiche sul faringe||22/04/2010 10:22|
29.1.1_V2002|29.11|Faringoscopia|Faringoscopia|C|0|1|||Faringoscopia||22/04/2010 10:22|
29.1.2_V2002|29.12|Biopsia faringea|Biopsia faringea|C|0|1|||Biopsia faringea||22/04/2010 10:22|
29.1.9_V2002|29.19|Altre procedure diagnostiche sul faringe|Altre procedure diagnostiche sul faringe|C|0|1|||Altre procedure diagnostiche sul faringe||22/04/2010 10:22|
29.2_V2002|29.2|Asportazione di cisti o vestigia della fessura branchiale|Asportazione di cisti o vestigia della fessura branchiale|S|0|1|||Asportazione di cisti o vestigia della fessura branchiale||22/04/2010 10:22|
29.3_V2002|29.3|Asportazione o demolizione di lesione o tessuto del faringe|Asportazione o demolizione di lesione o tessuto del faringe|S|0|1|||Asportazione o demolizione di lesione o tessuto del faringe||22/04/2010 10:22|
29.3.1_V2002|29.31|Miotomia cricofaringea|Miotomia cricofaringea|C|0|1|||Miotomia cricofaringea||22/04/2010 10:22|
29.3.2_V2002|29.32|Divertivulectomia faringea|Divertivulectomia faringea|C|0|1|||Divertivulectomia faringea||22/04/2010 10:22|
29.3.3_V2002|29.33|Faringectomia (parziale)|Faringectomia (parziale)|C|0|1|||Faringectomia (parziale)||22/04/2010 10:22|
29.3.9_V2002|29.39|Asportazione o demolizione di lesione o tessuto del faringe|Asportazione o demolizione di lesione o tessuto del faringe|C|0|1|||Asportazione o demolizione di lesione o tessuto del faringe||22/04/2010 10:22|
29.4_V2002|29.4|Intervento di plastica sul faringe|Intervento di plastica sul faringe|S|0|1|||Intervento di plastica sul faringe||22/04/2010 10:22|
29.5_V2002|29.5|Altra riparazione del faringe|Altra riparazione del faringe|S|0|1|||Altra riparazione del faringe||22/04/2010 10:22|
29.5.1_V2002|29.51|Sutura di lacerazione del faringe|Sutura di lacerazione del faringe|C|0|1|||Sutura di lacerazione del faringe||22/04/2010 10:22|
29.5.2_V2002|29.52|Chiusura di fistola della fessura branchiale|Chiusura di fistola della fessura branchiale|C|0|1|||Chiusura di fistola della fessura branchiale||22/04/2010 10:22|
29.5.3_V2002|29.53|Chiusura di altra fistola del faringe|Chiusura di altra fistola del faringe|C|0|1|||Chiusura di altra fistola del faringe||22/04/2010 10:22|
29.5.4_V2002|29.54|Lisi di aderenze faringee|Lisi di aderenze faringee|C|0|1|||Lisi di aderenze faringee||22/04/2010 10:22|
29.5.9_V2002|29.59|Altra riparazione del faringe|Altra riparazione del faringe|C|0|1|||Altra riparazione del faringe||22/04/2010 10:22|
29.9_V2002|29.9|Altri interventi sul faringe|Altri interventi sul faringe|S|0|1|||Altri interventi sul faringe||22/04/2010 10:22|
29.9.1_V2002|29.91|Dilatazione del faringe|Dilatazione del faringe|C|0|1|||Dilatazione del faringe||22/04/2010 10:22|
29.9.2_V2002|29.92|Sezione del nervo glossofaringeo|Sezione del nervo glossofaringeo|C|0|1|||Sezione del nervo glossofaringeo||22/04/2010 10:22|
29.9.9_V2002|29.99|Altri interventi sul faringe|Altri interventi sul faringe|C|0|1|||Altri interventi sul faringe||22/04/2010 10:22|
30_V2002|-|Asportazione della laringe|Asportazione della laringe|T|0|1|||Asportazione della laringe||22/04/2010 10:22|
30.0_V2002|30.0|Asportazione o demolizione di lesioni o tessuti laringei|Asportazione o demolizione di lesioni o tessuti laringei|S|0|1|||Asportazione o demolizione di lesioni o tessuti laringei||22/04/2010 10:22|
30.0.1_V2002|30.01|Marsupializzazione di cisti laringea|Marsupializzazione di cisti laringea|C|0|1|||Marsupializzazione di cisti laringea||22/04/2010 10:22|
30.0.9_V2002|30.09|Altra asportazione o demolizione di lesione o tessuto della laringe|Altra asportazione o demolizione di lesione o tessuto della laringe|C|0|1|||Altra asportazione o demolizione di lesione o tessuto della laringe||22/04/2010 10:22|
30.1_V2002|30.1|Emilaringectomia|Emilaringectomia|S|0|1|||Emilaringectomia||22/04/2010 10:22|
30.2_V2002|30.2|Altra laringectomia parziale|Altra laringectomia parziale|S|0|1|||Altra laringectomia parziale||22/04/2010 10:22|
30.2.1_V2002|30.21|Epiglottidectomia|Epiglottidectomia|C|0|1|||Epiglottidectomia||22/04/2010 10:22|
30.2.2_V2002|30.22|Cordectomia|Cordectomia|C|0|1|||Cordectomia||22/04/2010 10:22|
30.2.9_V2002|30.29|Altra laringectomia parziale|Altra laringectomia parziale|C|0|1|||Altra laringectomia parziale||22/04/2010 10:22|
30.3_V2002|30.3|Laringectomia completa|Laringectomia completa|S|0|1|||Laringectomia completa||22/04/2010 10:22|
30.4_V2002|30.4|Laringectomia radicale|Laringectomia radicale|S|0|1|||Laringectomia radicale||22/04/2010 10:22|
31_V2002|-|Altri interventi sulla laringe e sulla trachea|Altri interventi sulla laringe e sulla trachea|T|0|1|||Altri interventi sulla laringe e sulla trachea||22/04/2010 10:22|
31.0_V2002|31.0|Iniezione della laringe Iniezione di materiale inerte nella laringe o nelle corde vocali|Iniezione della laringe Iniezione di materiale inerte nella laringe o nelle corde vocali|S|0|1|||Iniezione della laringe Iniezione di materiale inerte nella laringe o nelle corde vocali||22/04/2010 10:22|
31.1_V2002|31.1|Tracheostomia temporanea|Tracheostomia temporanea|S|0|1|||Tracheostomia temporanea||22/04/2010 10:22|
31.2_V2002|31.2|Tracheostomia permanente|Tracheostomia permanente|S|0|1|||Tracheostomia permanente||22/04/2010 10:22|
31.2.1_V2002|31.21|Tracheostomia mediastinica|Tracheostomia mediastinica|C|0|1|||Tracheostomia mediastinica||22/04/2010 10:22|
31.2.9_V2002|31.29|Altra tracheostomia permanente|Altra tracheostomia permanente|C|0|1|||Altra tracheostomia permanente||22/04/2010 10:22|
31.3_V2002|31.3|Altra incisione di laringe o trachea|Altra incisione di laringe o trachea|S|0|1|||Altra incisione di laringe o trachea||22/04/2010 10:22|
31.4_V2002|31.4|Procedure diagnostiche su laringe e trachea|Procedure diagnostiche su laringe e trachea|S|0|1|||Procedure diagnostiche su laringe e trachea||22/04/2010 10:22|
31.4.1_V2002|31.41|Tracheoscopia attraverso stoma artificiale|Tracheoscopia attraverso stoma artificiale|C|0|1|||Tracheoscopia attraverso stoma artificiale||22/04/2010 10:22|
31.4.2_V2002|31.42|Laringoscopia e altra tracheoscopia|Laringoscopia e altra tracheoscopia|C|0|1|||Laringoscopia e altra tracheoscopia||22/04/2010 10:22|
31.4.3_V2002|31.43|Biopsia [endoscopica] della laringe|Biopsia [endoscopica] della laringe|C|0|1|||Biopsia [endoscopica] della laringe||22/04/2010 10:22|
31.4.4_V2002|31.44|Biopsia chiusa [endoscopica] della trachea|Biopsia chiusa [endoscopica] della trachea|C|0|1|||Biopsia chiusa [endoscopica] della trachea||22/04/2010 10:22|
31.4.5_V2002|31.45|Biopsia a cielo aperto della laringe o trachea|Biopsia a cielo aperto della laringe o trachea|C|0|1|||Biopsia a cielo aperto della laringe o trachea||22/04/2010 10:22|
31.4.8_V2002|31.48|Altra procedura diagnostica sulla laringe|Altra procedura diagnostica sulla laringe|C|0|1|||Altra procedura diagnostica sulla laringe||22/04/2010 10:22|
31.4.9_V2002|31.49|Altre procedure diagnostiche sulla trachea|Altre procedure diagnostiche sulla trachea|C|0|1|||Altre procedure diagnostiche sulla trachea||22/04/2010 10:22|
