#CODEVALUEMODEL=CodeValueInail|CODESYSTEMID=INAIL|CODESYSTEMNAME=INAIL|CODESYSTEMDISPLAYNAME=INAIL|VERSION=0|DESCRIPTION=INAIL|LANGUAGE=it|AUTHORITYNAME=ITAL-TBS S.P.A.|AUTHORITYDESCRIPTION=ITAL-TBS S.P.A.|AUTHORITYCONTACTINFORMATION=info@italtbs.com|VALIDFROM=01/01/2007 00:00|||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
A.1714_V0|A.1714_V0|A.1714_V0|RIVOLTELLE|S|0|1|||||||RIVOLTELLE|||01/01/2007 00:00|
A.1714.01_V0|A.1714.01_V0|A.1714.01_V0|v. Pistole|S|0|1|||||||v. Pistole|||01/01/2007 00:00|
A.1715_V0|A.1715_V0|A.1715_V0|ROCCA|C|0|1|6321||||||ROCCA|||01/01/2007 00:00|
A.1715.01_V0|A.1715.01_V0|A.1715.01_V0|cristallo di -, v. Quarzo|S|0|1|||||||cristallo di -, v. Quarzo|||01/01/2007 00:00|
A.1716_V0|A.1716_V0|A.1716_V0|ROCCATRICI|C|0|1|7360||||||ROCCATRICI|||01/01/2007 00:00|
A.1717_V0|A.1717_V0|A.1717_V0|ROCCE|S|0|1|||||||ROCCE|||01/01/2007 00:00|
A.1717.01_V0|A.1717.01_V0|A.1717.01_V0|produzione di lana di -|C|0|1|6561||||||produzione di lana di -|||01/01/2007 00:00|
A.1718_V0|A.1718_V0|A.1718_V0|ROCCHETTI|C|0|1|5224||||||ROCCHETTI|||01/01/2007 00:00|
A.1718.01_V0|A.1718.01_V0|A.1718.01_V0|elettromagnetici|C|0|1|6321||||||elettromagnetici|||01/01/2007 00:00|
A.1718.02_V0|A.1718.02_V0|A.1718.02_V0|in legno|C|0|1|6213||||||in legno|||01/01/2007 00:00|
A.1719_V0|A.1719_V0|A.1719_V0|ROCCHETTIERE|C|0|1|6270||||||ROCCHETTIERE|||01/01/2007 00:00|
A.1720_V0|A.1720_V0|A.1720_V0|RONCOLE|C|0|1|6213||||||RONCOLE|||01/01/2007 00:00|
A.1721_V0|A.1721_V0|A.1721_V0|RONDELLE|C|0|1|6270||||||RONDELLE|||01/01/2007 00:00|
A.1722_V0|A.1722_V0|A.1722_V0|ROSTA|C|0|1|3210||||||ROSTA|||01/01/2007 00:00|
A.1722.01_V0|A.1722.01_V0|A.1722.01_V0|lavori di - :|C|0|1|3210||||||lavori di - :|||01/01/2007 00:00|
A.1722.02.01_V0|A.1722.02.01_V0|A.1722.02.01_V0| - per opere di bonifica|C|0|1|3210|||||| - per opere di bonifica|||01/01/2007 00:00|
A.1722.03.02_V0|A.1722.03.02_V0|A.1722.03.02_V0| - per opere marittime, lagunari, lacuali|C|0|1|0211|||||| - per opere marittime, lagunari, lacuali|||01/01/2007 00:00|
A.1722.04.03_V0|A.1722.04.03_V0|A.1722.04.03_V0| - per la sistemazione dei fiumi|C|0|1|3210|||||| - per la sistemazione dei fiumi|||01/01/2007 00:00|
A.1723_V0|A.1723_V0|A.1723_V0|ROSTICCERIE|C|0|1|6111||||||ROSTICCERIE|||01/01/2007 00:00|
A.1724_V0|A.1724_V0|A.1724_V0|ROTAIE|S|0|1|||||||ROTAIE|||01/01/2007 00:00|
A.1724.01_V0|A.1724.01_V0|A.1724.01_V0|fabbricazione|C|0|1|6321||||||fabbricazione|||01/01/2007 00:00|
A.1725_V0|A.1725_V0|A.1725_V0|ROTATIVE|S|0|1|||||||ROTATIVE|||01/01/2007 00:00|
A.1725.01_V0|A.1725.01_V0|A.1725.01_V0|(macchine tipografiche)|C|0|1|2231||||||(macchine tipografiche)|||01/01/2007 00:00|
A.1726_V0|A.1726_V0|A.1726_V0|ROTOCALCOGRAFIA|C|0|1|6261||||||ROTOCALCOGRAFIA|||01/01/2007 00:00|
A.1726.01_V0|A.1726.01_V0|A.1726.01_V0|stampa a -|C|0|1|2231||||||stampa a -|||01/01/2007 00:00|
A.1726.02_V0|A.1726.02_V0|A.1726.02_V0|produzione di matrici per -|C|0|1|6240||||||produzione di matrici per -|||01/01/2007 00:00|
A.1727_V0|A.1727_V0|A.1727_V0|ROTOLAMENTO|S|0|1|||||||ROTOLAMENTO|||01/01/2007 00:00|
A.1727.01_V0|A.1727.01_V0|A.1727.01_V0|cuscinetti a - (a rulli e a sfere)|C|0|1|6292||||||cuscinetti a - (a rulli e a sfere)|||01/01/2007 00:00|
A.1728_V0|A.1728_V0|A.1728_V0|ROTTAMAZIONE|S|0|1|||||||ROTTAMAZIONE|||01/01/2007 00:00|
A.1728.01_V0|A.1728.01_V0|A.1728.01_V0|di autoveicoli|C|0|1|6292||||||di autoveicoli|||01/01/2007 00:00|
A.1729_V0|A.1729_V0|A.1729_V0|ROTTAMI|C|0|1|6122 6240||||||ROTTAMI|||01/01/2007 00:00|
A.1729.01_V0|A.1729.01_V0|A.1729.01_V0|riduzione in - di materiali metallici|C|0|1|6292||||||riduzione in - di materiali metallici|||01/01/2007 00:00|
A.1730_V0|A.1730_V0|A.1730_V0|RUBINETTERIA|C|0|1|2195||||||RUBINETTERIA|||01/01/2007 00:00|
A.1731_V0|A.1731_V0|A.1731_V0|RULLI|C|0|1|2197||||||RULLI|||01/01/2007 00:00|
A.1731.01_V0|A.1731.01_V0|A.1731.01_V0|in gomma|C|0|1|6112||||||in gomma|||01/01/2007 00:00|
A.1731.02_V0|A.1731.02_V0|A.1731.02_V0|in materie plastiche|C|0|1|6122||||||in materie plastiche|||01/01/2007 00:00|
A.1731.03_V0|A.1731.03_V0|A.1731.03_V0|in acciaio o ghisa ottenuti per fusione|C|0|1|6240||||||in acciaio o ghisa ottenuti per fusione|||01/01/2007 00:00|
A.1731.04_V0|A.1731.04_V0|A.1731.04_V0|in altri metalli|C|0|1|6321||||||in altri metalli|||01/01/2007 00:00|
A.1731.05_V0|A.1731.05_V0|A.1731.05_V0|in metallo tornito|C|0|1|6240||||||in metallo tornito|||01/01/2007 00:00|
A.1731.06_V0|A.1731.06_V0|A.1731.06_V0|compressori stradali|C|0|1|7271||||||compressori stradali|||01/01/2007 00:00|
A.1731.07_V0|A.1731.07_V0|A.1731.07_V0|per il costipamento del terreno:|C|0|1|6112||||||per il costipamento del terreno:|||01/01/2007 00:00|
A.1731.08.01_V0|A.1731.08.01_V0|A.1731.08.01_V0| - in conglomerato cementizio|C|0|1|6212|||||| - in conglomerato cementizio|||01/01/2007 00:00|
A.1731.09.02_V0|A.1731.09.02_V0|A.1731.09.02_V0| - in acciaio o ghisa ottenuti per fusione|C|0|1|6240|||||| - in acciaio o ghisa ottenuti per fusione|||01/01/2007 00:00|
A.1731.10.03_V0|A.1731.10.03_V0|A.1731.10.03_V0| - in metallo (carpenteria metallica)|C|0|1|6323|||||| - in metallo (carpenteria metallica)|||01/01/2007 00:00|
A.1731.11_V0|A.1731.11_V0|A.1731.11_V0|cuscinetti a -|C|0|1|6240||||||cuscinetti a -|||01/01/2007 00:00|
A.1731.12_V0|A.1731.12_V0|A.1731.12_V0|trasportatori a -|C|0|1|5224||||||trasportatori a -|||01/01/2007 00:00|
A.1732_V0|A.1732_V0|A.1732_V0|RUOTE|C|0|1|6112||||||RUOTE|||01/01/2007 00:00|
A.1732.01_V0|A.1732.01_V0|A.1732.01_V0|in legno|C|0|1|6122||||||in legno|||01/01/2007 00:00|
A.1732.02_V0|A.1732.02_V0|A.1732.02_V0|in acciaio o ghisa ottenute per fusione|C|0|1|6240||||||in acciaio o ghisa ottenute per fusione|||01/01/2007 00:00|
A.1732.03_V0|A.1732.03_V0|A.1732.03_V0|in altri metalli ottenute per fusione|C|0|1|6222||||||in altri metalli ottenute per fusione|||01/01/2007 00:00|
A.1732.04_V0|A.1732.04_V0|A.1732.04_V0|in metallo tornito|C|0|1|6321||||||in metallo tornito|||01/01/2007 00:00|
A.1732.05_V0|A.1732.05_V0|A.1732.05_V0|in lamiera metallica|C|0|1|6222||||||in lamiera metallica|||01/01/2007 00:00|
A.1733_V0|A.1733_V0|A.1733_V0|RUSPE|C|0|1|7150||||||RUSPE|||01/01/2007 00:00|
A.1734_V0|A.1734_V0|A.1734_V0|SABBIA|C|0|1|7250||||||SABBIA|||01/01/2007 00:00|
A.1734.01_V0|A.1734.01_V0|A.1734.01_V0|estrazione|C|0|1|7150||||||estrazione|||01/01/2007 00:00|
A.1734.02_V0|A.1734.02_V0|A.1734.02_V0|lavatura, valiatura, ecc. (impianti a sé stanti)|C|0|1|6321||||||lavatura, valiatura, ecc. (impianti a sé stanti)|||01/01/2007 00:00|
A.1735_V0|A.1735_V0|A.1735_V0|SABBIATRICI|S|0|1|||||||SABBIATRICI|||01/01/2007 00:00|
A.1735.01_V0|A.1735.01_V0|A.1735.01_V0|macchine -|C|0|1|6321||||||macchine -|||01/01/2007 00:00|
A.1736_V0|A.1736_V0|A.1736_V0|SABBIATURA|C|0|1|7350||||||SABBIATURA|||01/01/2007 00:00|
A.1736.01_V0|A.1736.01_V0|A.1736.01_V0|del vetro:|C|0|1|7360||||||del vetro:|||01/01/2007 00:00|
A.1736.02.01_V0|A.1736.02.01_V0|A.1736.02.01_V0| - piano|C|0|1|6281|||||| - piano|||01/01/2007 00:00|
A.1736.03.02_V0|A.1736.03.02_V0|A.1736.03.02_V0| - cavo|C|0|1|3110|||||| - cavo|||01/01/2007 00:00|
A.1736.04_V0|A.1736.04_V0|A.1736.04_V0|dei metalli|C|0|1|6550||||||dei metalli|||01/01/2007 00:00|
A.1736.05_V0|A.1736.05_V0|A.1736.05_V0|di superfici esterne di edifici|C|0|1|2112||||||di superfici esterne di edifici|||01/01/2007 00:00|
A.1737_V0|A.1737_V0|A.1737_V0|SACCARIMETRI|C|0|1|1460||||||SACCARIMETRI|||01/01/2007 00:00|
A.1738_V0|A.1738_V0|A.1738_V0|SACCARINA|C|0|1|2112||||||SACCARINA|||01/01/2007 00:00|
A.1739_V0|A.1739_V0|A.1739_V0|SACCAROSIO|C|0|1|1460||||||SACCAROSIO|||01/01/2007 00:00|
A.1740_V0|A.1740_V0|A.1740_V0|SACCHETTI|S|0|1|||||||SACCHETTI|||01/01/2007 00:00|
A.1740.01_V0|A.1740.01_V0|A.1740.01_V0|v. Sacchi|C|0|1|2221||||||v. Sacchi|||01/01/2007 00:00|
A.1741_V0|A.1741_V0|A.1741_V0|SACCHI|C|0|1|2197||||||SACCHI|||01/01/2007 00:00|
A.1741.01_V0|A.1741.01_V0|A.1741.01_V0|in carta|C|0|1|8210||||||in carta|||01/01/2007 00:00|
A.1741.02_V0|A.1741.02_V0|A.1741.02_V0|in materie plastiche|C|0|1|2197||||||in materie plastiche|||01/01/2007 00:00|
A.1741.03_V0|A.1741.03_V0|A.1741.03_V0|in tessuto|C|0|1|5311||||||in tessuto|||01/01/2007 00:00|
A.1742_V0|A.1742_V0|A.1742_V0|SAGGINA|S|0|1|||||||SAGGINA|||01/01/2007 00:00|
A.1742.01_V0|A.1742.01_V0|A.1742.01_V0|prima lavorazione industriale (spigatura, pelatura, classificazione, pulitura, sbianca, tintura, ecc.)|C|0|1|5313||||||prima lavorazione industriale (spigatura, pelatura, classificazione, pulitura, sbianca, tintura, ecc.)|||01/01/2007 00:00|
A.1743_V0|A.1743_V0|A.1743_V0|SAGGINA|S|0|1|||||||SAGGINA|||01/01/2007 00:00|
A.1743.01_V0|A.1743.01_V0|A.1743.01_V0|fabbricazione di scope|C|0|1|6321||||||fabbricazione di scope|||01/01/2007 00:00|
A.1744_V0|A.1744_V0|A.1744_V0|SAGOME|C|0|1|5223||||||SAGOME|||01/01/2007 00:00|
A.1744.01_V0|A.1744.01_V0|A.1744.01_V0|in metallo per lavorazioni meccaniche|C|0|1|6321||||||in metallo per lavorazioni meccaniche|||01/01/2007 00:00|
A.1744.02_V0|A.1744.02_V0|A.1744.02_V0|in legno|C|0|1|6291||||||in legno|||01/01/2007 00:00|
A.1745_V0|A.1745_V0|A.1745_V0|SALDATURA|S|0|1|||||||SALDATURA|||01/01/2007 00:00|
A.1745.01_V0|A.1745.01_V0|A.1745.01_V0|autogena dei metalli|C|0|1|6291||||||autogena dei metalli|||01/01/2007 00:00|
A.1746_V0|A.1746_V0|A.1746_V0|SALE|S|0|1|||||||SALE|||01/01/2007 00:00|
A.1746.01_V0|A.1746.01_V0|A.1746.01_V0|v. Saline o Salgemma|C|0|1|7250||||||v. Saline o Salgemma|||01/01/2007 00:00|
A.1747_V0|A.1747_V0|A.1747_V0|SALGEMMA|C|0|1|7161||||||SALGEMMA|||01/01/2007 00:00|
A.1747.01_V0|A.1747.01_V0|A.1747.01_V0|macinazione e lavorazione (impianti a sé stante)|C|0|1|7250||||||macinazione e lavorazione (impianti a sé stante)|||01/01/2007 00:00|
A.1747.02_V0|A.1747.02_V0|A.1747.02_V0|raccolta nelle saline e raffinazione|C|0|1|7250||||||raccolta nelle saline e raffinazione|||01/01/2007 00:00|
A.1748_V0|A.1748_V0|A.1748_V0|SALI POTASSICI|S|0|1|||||||SALI POTASSICI|||01/01/2007 00:00|
A.1748.01_V0|A.1748.01_V0|A.1748.01_V0|macinazione e lavorazione (impianti a sé stante)|C|0|1|5311||||||macinazione e lavorazione (impianti a sé stante)|||01/01/2007 00:00|
A.1749_V0|A.1749_V0|A.1749_V0|SALICE|C|0|1|5312||||||SALICE|||01/01/2007 00:00|
A.1749.01_V0|A.1749.01_V0|A.1749.01_V0|intreccio del truciolo e di vimini|C|0|1|5123||||||intreccio del truciolo e di vimini|||01/01/2007 00:00|
A.1749.02_V0|A.1749.02_V0|A.1749.02_V0|mobili e arredamenti in vimini|C|0|1|5312||||||mobili e arredamenti in vimini|||01/01/2007 00:00|
A.1749.03_V0|A.1749.03_V0|A.1749.03_V0|produzione del truciolo|C|0|1|7161||||||produzione del truciolo|||01/01/2007 00:00|
A.1750_V0|A.1750_V0|A.1750_V0|SALINE|C|0|1|7250||||||SALINE|||01/01/2007 00:00|
A.1750.01_V0|A.1750.01_V0|A.1750.01_V0|esercizio di -|C|0|1|7161||||||esercizio di -|||01/01/2007 00:00|
A.1750.02_V0|A.1750.02_V0|A.1750.02_V0|macinazione e lavorazione del salgemma (impianti a sé stante)|C|0|1|1452||||||macinazione e lavorazione del salgemma (impianti a sé stante)|||01/01/2007 00:00|
A.1751_V0|A.1751_V0|A.1751_V0|SALSE|C|0|1|1451||||||SALSE|||01/01/2007 00:00|
A.1751.01_V0|A.1751.01_V0|A.1751.01_V0|alimentari|C|0|1|1452||||||alimentari|||01/01/2007 00:00|
A.1752_V0|A.1752_V0|A.1752_V0|SALUMI|C|0|1|5320||||||SALUMI|||01/01/2007 00:00|
A.1753_V0|A.1753_V0|A.1753_V0|SALVAGENTE|S|0|1|||||||SALVAGENTE|||01/01/2007 00:00|
A.1753.01_V0|A.1753.01_V0|A.1753.01_V0|di sughero|C|0|1|5320||||||di sughero|||01/01/2007 00:00|
A.1753.02_V0|A.1753.02_V0|A.1753.02_V0|di altri materiali, v. voce del materiale impiegato|C|0|1|0213||||||di altri materiali, v. voce del materiale impiegato|||01/01/2007 00:00|
A.1754_V0|A.1754_V0|A.1754_V0|SALVAMENTO|C|0|1|0710||||||SALVAMENTO|||01/01/2007 00:00|
A.1754.01_V0|A.1754.01_V0|A.1754.01_V0|dei bagnanti negli stabilimenti balneari|C|0|1|8230||||||dei bagnanti negli stabilimenti balneari|||01/01/2007 00:00|
A.1754.02_V0|A.1754.02_V0|A.1754.02_V0|addetti alla estinzione degli incendi e simili|C|0|1|0710||||||addetti alla estinzione degli incendi e simili|||01/01/2007 00:00|
A.1755_V0|A.1755_V0|A.1755_V0|SANDALI|C|0|1|2150||||||SANDALI|||01/01/2007 00:00|
A.1756_V0|A.1756_V0|A.1756_V0|SANGUE|C|0|1|1480||||||SANGUE|||01/01/2007 00:00|
A.1756.01_V0|A.1756.01_V0|A.1756.01_V0|impiego nella preparazione di concimi organici|C|0|1|2150||||||impiego nella preparazione di concimi organici|||01/01/2007 00:00|
A.1756.02_V0|A.1756.02_V0|A.1756.02_V0|impiego nella preparazione di mangimi|C|0|1|1480||||||impiego nella preparazione di mangimi|||01/01/2007 00:00|
A.1757_V0|A.1757_V0|A.1757_V0|SANITARIO|S|0|1|||||||SANITARIO|||01/01/2007 00:00|
A.1757.01_V0|A.1757.01_V0|A.1757.01_V0|personale -, v. voci del sottogruppo 0310|C|0|1|7274||||||personale -, v. voci del sottogruppo 0310|||01/01/2007 00:00|
A.1758_V0|A.1758_V0|A.1758_V0|SANSE|S|0|1|||||||SANSE|||01/01/2007 00:00|
A.1758.01_V0|A.1758.01_V0|A.1758.01_V0|agglomerazione in mattonelle combustibili|C|0|1|1420||||||agglomerazione in mattonelle combustibili|||01/01/2007 00:00|
A.1758.02_V0|A.1758.02_V0|A.1758.02_V0|estrazione di oli:|C|0|1|2150||||||estrazione di oli:|||01/01/2007 00:00|
A.1758.03.01_V0|A.1758.03.01_V0|A.1758.03.01_V0| - per uso alimentare|C|0|1|1420|||||| - per uso alimentare|||01/01/2007 00:00|
A.1758.04.02_V0|A.1758.04.02_V0|A.1758.04.02_V0| - per uso industriale|C|0|1|2150|||||| - per uso industriale|||01/01/2007 00:00|
A.1759_V0|A.1759_V0|A.1759_V0|SAPONI|C|0|1|2112||||||SAPONI|||01/01/2007 00:00|
A.1759.01_V0|A.1759.01_V0|A.1759.01_V0|fabbricazione di -|C|0|1|2150||||||fabbricazione di -|||01/01/2007 00:00|
A.1759.02_V0|A.1759.02_V0|A.1759.02_V0|medicinali, fabbricazione in stabilimenti farmaceutici|C|0|1|6570||||||medicinali, fabbricazione in stabilimenti farmaceutici|||01/01/2007 00:00|
A.1760_V0|A.1760_V0|A.1760_V0|SARACINESCHE|C|0|1|6212||||||SARACINESCHE|||01/01/2007 00:00|
A.1760.01_V0|A.1760.01_V0|A.1760.01_V0|apparecchi idraulici per impianti di acqua potabile|C|0|1|6570||||||apparecchi idraulici per impianti di acqua potabile|||01/01/2007 00:00|
A.1760.02_V0|A.1760.02_V0|A.1760.02_V0|apparecchi idraulici per opere edili (chiuse, canali, ecc.)|C|0|1|6211||||||apparecchi idraulici per opere edili (chiuse, canali, ecc.)|||01/01/2007 00:00|
A.1760.03_V0|A.1760.03_V0|A.1760.03_V0|(serrande) metalliche:|C|0|1|6212||||||(serrande) metalliche:|||01/01/2007 00:00|
A.1760.04.01_V0|A.1760.04.01_V0|A.1760.04.01_V0| - fabbricazione e posa in opera|C|0|1|3140|||||| - fabbricazione e posa in opera|||01/01/2007 00:00|
A.1760.05.02_V0|A.1760.05.02_V0|A.1760.05.02_V0| - sola fabbricazione|C|0|1|6212|||||| - sola fabbricazione|||01/01/2007 00:00|
A.1760.06.03_V0|A.1760.06.03_V0|A.1760.06.03_V0| - sola posa in opera nei fabbricati|C|0|1|5212|||||| - sola posa in opera nei fabbricati|||01/01/2007 00:00|
A.1761_V0|A.1761_V0|A.1761_V0|SARCOFAGHI|C|0|1|8210||||||SARCOFAGHI|||01/01/2007 00:00|
A.1761.01_V0|A.1761.01_V0|A.1761.01_V0|in legno|C|0|1|5212||||||in legno|||01/01/2007 00:00|
A.1762_V0|A.1762_V0|A.1762_V0|SARTORIE|C|0|1|3210||||||SARTORIE|||01/01/2007 00:00|
A.1763_V0|A.1763_V0|A.1763_V0|SASSAIE|C|0|1|6321||||||SASSAIE|||01/01/2007 00:00|
A.1763.01_V0|A.1763.01_V0|A.1763.01_V0|(barriere in pietrame)|C|0|1|3210||||||(barriere in pietrame)|||01/01/2007 00:00|
A.1764_V0|A.1764_V0|A.1764_V0|SATINATRICI|C|0|1|3310||||||SATINATRICI|||01/01/2007 00:00|
A.1765_V0|A.1765_V0|A.1765_V0|SBANCAMENTO|S|0|1|||||||SBANCAMENTO|||01/01/2007 00:00|
A.1765.01_V0|A.1765.01_V0|A.1765.01_V0|di terra: eseguito indipendentemente da altri lavori|C|0|1|3310||||||di terra: eseguito indipendentemente da altri lavori|||01/01/2007 00:00|
A.1765.02_V0|A.1765.02_V0|A.1765.02_V0|in lavori generali, v. voci relative ai lavori|C|0|1|3210||||||in lavori generali, v. voci relative ai lavori|||01/01/2007 00:00|
A.1766_V0|A.1766_V0|A.1766_V0|SBARRAMENTI|S|0|1|||||||SBARRAMENTI|||01/01/2007 00:00|
A.1766.01_V0|A.1766.01_V0|A.1766.01_V0|per opere marittime, lagunari e lacuali|C|0|1|6321||||||per opere marittime, lagunari e lacuali|||01/01/2007 00:00|
A.1766.02_V0|A.1766.02_V0|A.1766.02_V0|v. anche Dighe|S|0|1|||||||v. anche Dighe|||01/01/2007 00:00|
A.1767_V0|A.1767_V0|A.1767_V0|SBAVATRICI|C|0|1|8160||||||SBAVATRICI|||01/01/2007 00:00|
A.1768_V0|A.1768_V0|A.1768_V0|SBIANCA |C|0|1|5311||||||SBIANCA |||01/01/2007 00:00|
A.1768.01_V0|A.1768.01_V0|A.1768.01_V0|di fibre, filati e tessuti|C|0|1|8160||||||di fibre, filati e tessuti|||01/01/2007 00:00|
A.1768.02_V0|A.1768.02_V0|A.1768.02_V0|di giunco, paglia, saggina, sparto trebbia, vimini e simili|C|0|1|5311||||||di giunco, paglia, saggina, sparto trebbia, vimini e simili|||01/01/2007 00:00|
A.1769_V0|A.1769_V0|A.1769_V0|SBIANCATURA|S|0|1|||||||SBIANCATURA|||01/01/2007 00:00|
A.1769.01_V0|A.1769.01_V0|A.1769.01_V0|v. Sbianca|C|0|1|1120||||||v. Sbianca|||01/01/2007 00:00|
A.1770_V0|A.1770_V0|A.1770_V0|SBOZZATURA|C|0|1|5111||||||SBOZZATURA|||01/01/2007 00:00|
A.1770.01_V0|A.1770.01_V0|A.1770.01_V0|dei tronchi di legno sul posto dell'abbattimento|C|0|1|7350||||||dei tronchi di legno sul posto dell'abbattimento|||01/01/2007 00:00|
A.1770.02_V0|A.1770.02_V0|A.1770.02_V0|dei tronchi di legno e delle pipe|C|0|1|5111||||||dei tronchi di legno e delle pipe|||01/01/2007 00:00|
A.1770.03_V0|A.1770.03_V0|A.1770.03_V0|di vetro per lenti|C|0|1|1441||||||di vetro per lenti|||01/01/2007 00:00|
A.1771_V0|A.1771_V0|A.1771_V0|SBRAMATURA|S|0|1|||||||SBRAMATURA|||01/01/2007 00:00|
A.1771.01_V0|A.1771.01_V0|A.1771.01_V0|del riso|C|0|1|6321||||||del riso|||01/01/2007 00:00|
A.1772_V0|A.1772_V0|A.1772_V0|SBRAMINI|C|0|1|6321||||||SBRAMINI|||01/01/2007 00:00|
A.1772.01_V0|A.1772.01_V0|A.1772.01_V0|per riso|C|0|1|6321||||||per riso|||01/01/2007 00:00|
A.1773_V0|A.1773_V0|A.1773_V0|SBUCCIATRICI|C|0|1|5330||||||SBUCCIATRICI|||01/01/2007 00:00|
A.1774_V0|A.1774_V0|A.1774_V0|SCACCHI|C|0|1|5225||||||SCACCHI|||01/01/2007 00:00|
A.1774.01_V0|A.1774.01_V0|A.1774.01_V0|in avorio, osso, e altre sostanze lavorabili come il legno|C|0|1|2197||||||in avorio, osso, e altre sostanze lavorabili come il legno|||01/01/2007 00:00|
A.1774.02_V0|A.1774.02_V0|A.1774.02_V0|in legno|C|0|1|5225||||||in legno|||01/01/2007 00:00|
A.1774.03_V0|A.1774.03_V0|A.1774.03_V0|in materie plastiche stampate|C|0|1|2197||||||in materie plastiche stampate|||01/01/2007 00:00|
A.1775_V0|A.1775_V0|A.1775_V0|SCACCHIERE|S|0|1|||||||SCACCHIERE|||01/01/2007 00:00|
A.1775.01_V0|A.1775.01_V0|A.1775.01_V0|v. Scacchi|S|0|1|||||||v. Scacchi|||01/01/2007 00:00|
A.1776_V0|A.1776_V0|A.1776_V0|SCAFANDRI|S|0|1|||||||SCAFANDRI|||01/01/2007 00:00|
A.1776.01_V0|A.1776.01_V0|A.1776.01_V0|v. Palombari|S|0|1|||||||v. Palombari|||01/01/2007 00:00|
A.1777_V0|A.1777_V0|A.1777_V0|SCAFI|S|0|1|||||||SCAFI|||01/01/2007 00:00|
A.1777.01_V0|A.1777.01_V0|A.1777.01_V0|v. Imbarcazioni o Navi|C|0|1|6582||||||v. Imbarcazioni o Navi|||01/01/2007 00:00|
A.1778_V0|A.1778_V0|A.1778_V0|SCALDABAGNI|S|0|1|||||||SCALDABAGNI|||01/01/2007 00:00|
A.1778.01_V0|A.1778.01_V0|A.1778.01_V0|elettrici, a gas, solari,ecc.|C|0|1|6582||||||elettrici, a gas, solari,ecc.|||01/01/2007 00:00|
A.1779_V0|A.1779_V0|A.1779_V0|SCALE|C|0|1|6323||||||SCALE|||01/01/2007 00:00|
A.1779.01_V0|A.1779.01_V0|A.1779.01_V0|aeree:|C|0|1|9122||||||aeree:|||01/01/2007 00:00|
A.1779.02.01_V0|A.1779.02.01_V0|A.1779.02.01_V0| - costruzione|C|0|1|8123|||||| - costruzione|||01/01/2007 00:00|
A.1779.03.02_V0|A.1779.03.02_V0|A.1779.03.02_V0| - esercizio|C|0|1|5213|||||| - esercizio|||01/01/2007 00:00|
A.1779.04_V0|A.1779.04_V0|A.1779.04_V0|in corda|C|0|1|2197||||||in corda|||01/01/2007 00:00|
A.1779.05_V0|A.1779.05_V0|A.1779.05_V0|in legno|C|0|1|6323||||||in legno|||01/01/2007 00:00|
A.1779.06_V0|A.1779.06_V0|A.1779.06_V0|in materie plastiche|C|0|1|6211 6212||||||in materie plastiche|||01/01/2007 00:00|
A.1779.07_V0|A.1779.07_V0|A.1779.07_V0|mobili|C|0|1|6215||||||mobili|||01/01/2007 00:00|
A.1779.08_V0|A.1779.08_V0|A.1779.08_V0|in acciaio|C|0|1|6211        6212||||||in acciaio|||01/01/2007 00:00|
A.1779.09_V0|A.1779.09_V0|A.1779.09_V0|in leghe leggere|C|0|1|6215||||||in leghe leggere|||01/01/2007 00:00|
A.1780_V0|A.1780_V0|A.1780_V0|SCALI|S|0|1|||||||SCALI|||01/01/2007 00:00|
A.1780.01_V0|A.1780.01_V0|A.1780.01_V0|ferroviari, v. voci dei gruppi 3100, 3600 e del sottogruppo 3330|C|0|1|3210||||||ferroviari, v. voci dei gruppi 3100, 3600 e del sottogruppo 3330|||01/01/2007 00:00|
A.1780.02_V0|A.1780.02_V0|A.1780.02_V0|marittimi e lacuali:|C|0|1|3630||||||marittimi e lacuali:|||01/01/2007 00:00|
A.1780.03.01_V0|A.1780.03.01_V0|A.1780.03.01_V0| - costruzione|C|0|1|3210|||||| - costruzione|||01/01/2007 00:00|
A.1780.04.02_V0|A.1780.04.02_V0|A.1780.04.02_V0| - installazione impianti|C|0|1|0710|||||| - installazione impianti|||01/01/2007 00:00|
A.1780.05_V0|A.1780.05_V0|A.1780.05_V0|aerei, v. Aeroporti|C|0|1|6213||||||aerei, v. Aeroporti|||01/01/2007 00:00|
A.1780.06_V0|A.1780.06_V0|A.1780.06_V0|guardiani agli -|C|0|1|7261||||||guardiani agli -|||01/01/2007 00:00|
A.1781_V0|A.1781_V0|A.1781_V0|SCALPELLI|C|0|1|6213||||||SCALPELLI|||01/01/2007 00:00|
A.1782_V0|A.1782_V0|A.1782_V0|SCALPELLINI|C|0|1|7261||||||SCALPELLINI|||01/01/2007 00:00|
A.1783_V0|A.1783_V0|A.1783_V0|SCAMBI|C|0|1|6111||||||SCAMBI|||01/01/2007 00:00|
A.1783.01_V0|A.1783.01_V0|A.1783.01_V0|ferroviari e tranviari:|C|0|1|6590||||||ferroviari e tranviari:|||01/01/2007 00:00|
